"","fitted_LFO","var","year","Y_Rec","sd","residual_LFO","Type","fitted_LOO","residuals_loo"
"48",1.10094291843042,"CSTpjuv",2014,0.0104437,NA,NA,"predicted",0.00888960858436785,0.00155409141563215
"49",-0.065720232498948,"LSTlarv",2011,-0.448451,NA,NA,"predicted",-0.124519207364755,-0.323931792635245
"50",-0.0739283312247578,"LSTlarv",2012,-0.218587,NA,NA,"predicted",-0.0909438534491197,-0.12764314655088
"51",0.095934653192264,"LSTlarv",2013,0.0738459,NA,NA,"predicted",0.107015171838014,-0.033169271838014
"52",0.0984448450795567,"LSTlarv",2014,0.0104437,NA,NA,"predicted",0.090493637103774,-0.080049937103774
"53",0.0126063009723652,"LSTpjuv",2011,-0.448451,NA,NA,"predicted",-0.0339715468150242,-0.414479453184976
"54",-0.0628660597896544,"LSTpjuv",2012,-0.218587,NA,NA,"predicted",-0.0518442756623529,-0.166742724337647
"55",-0.0884089617265111,"LSTpjuv",2013,0.0738459,NA,NA,"predicted",-0.0560824261121266,0.129928326112127
"56",-0.0822650509517082,"LSTpjuv",2014,0.0104437,NA,NA,"predicted",-0.0641675002429499,0.0746112002429499
"57",-0.0945443141976587,"HCIlarv",2011,-0.448451,NA,NA,"predicted",-0.110198271040395,-0.338252728959605
"58",-0.175595147693404,"HCIlarv",2012,-0.218587,NA,NA,"predicted",-0.150034659953372,-0.0685523400466284
"59",-0.162163398708174,"HCIlarv",2013,0.0738459,NA,NA,"predicted",-0.133100724596561,0.206946624596561
"60",-0.0659753342704779,"HCIlarv",2014,0.0104437,NA,NA,"predicted",-0.0621725199487035,0.0726162199487035
"61",-0.0131280843923701,"HCIpjuv",2011,-0.448451,NA,NA,"predicted",-0.0758868239424592,-0.372564176057541
"62",-0.0704683926317443,"HCIpjuv",2012,-0.218587,NA,NA,"predicted",-0.0722004844801262,-0.146386515519874
"63",-0.134312362330508,"HCIpjuv",2013,0.0738459,NA,NA,"predicted",-0.104574692992388,0.178420592992388
"64",-0.0340900612510986,"HCIpjuv",2014,0.0104437,NA,NA,"predicted",-0.0268797647481658,0.0373234647481658
"65",0.395541878099943,"ONIpre",2011,-0.448451,NA,NA,"predicted",0.156690996412739,-0.605141996412739
"66",-0.035475085242442,"ONIpre",2012,-0.218587,NA,NA,"predicted",-0.0292281285815852,-0.189358871418415
"67",-0.215986945860446,"ONIpre",2013,0.0738459,NA,NA,"predicted",-0.174893532835902,0.248739432835902
"68",-0.15540434719475,"ONIpre",2014,0.0104437,NA,NA,"predicted",-0.144136452240379,0.154580152240379
"69",0.134489674744456,"ONIpjuv",2011,-0.448451,NA,NA,"predicted",0.0764291921404582,-0.524880192140458
"70",-0.0656483705663609,"ONIpjuv",2012,-0.218587,NA,NA,"predicted",-0.0652471955101227,-0.153339804489877
"71",0.0144099125623898,"ONIpjuv",2013,0.0738459,NA,NA,"predicted",0.0223822738254096,0.0514636261745904
"72",-0.108110071374462,"ONIpjuv",2014,0.0104437,NA,NA,"predicted",-0.0993544739250697,0.10979817392507
"73",-0.134008757453422,"PDOlarv",2011,-0.448451,NA,NA,"predicted",-0.154637256110558,-0.293813743889442
"74",-0.192851432441267,"PDOlarv",2012,-0.218587,NA,NA,"predicted",-0.165334037816651,-0.0532529621833493
"75",-0.175290412760238,"PDOlarv",2013,0.0738459,NA,NA,"predicted",-0.146614669831007,0.220460569831007
"76",-0.0427180779926177,"PDOlarv",2014,0.0104437,NA,NA,"predicted",-0.0401816918587256,0.0506253918587256
"77",0.170892796320415,"PDOpjuv",2011,-0.448451,NA,NA,"predicted",0.0393008132275883,-0.487751813227588
"78",0.0769373123002943,"PDOpjuv",2012,-0.218587,NA,NA,"predicted",0.0424672399906164,-0.261054239990616
"79",-0.000748948038616373,"PDOpjuv",2013,0.0738459,NA,NA,"predicted",0.00733498114387787,0.0665109188561221
"80",-0.0984770324247974,"PDOpjuv",2014,0.0104437,NA,NA,"predicted",-0.0906734662754145,0.101117166275415
"81",0.237820707654863,"CutiSTIpjuv",2011,-0.448451,NA,NA,"predicted",0.169278552178565,-0.617729552178565
"82",-0.379885544545568,"CutiSTIpjuv",2012,-0.218587,NA,NA,"predicted",-0.334197871238352,0.115610871238352
"83",-0.18631476579661,"CutiSTIpjuv",2013,0.0738459,NA,NA,"predicted",-0.135744950247145,0.209590850247145
