date,temp_90_180,temp_0_180,temp_0_90,temp_30_130,temp_180_549,dd_90_180,dd_0_180,dd_0_90,dd_30_130,dd_180_549
1993-01-01,9.73828605887137,9.49478005507158,9.22916024925658,9.62936193688161,9.43806473948357,29982.5446576029,55030.2222515419,25047.677593939,36208.0559780225,31508.1471005678
1993-01-02,9.69292526223158,9.45597916040802,9.19751498879464,9.57590660395851,9.40579459190106,29745.53449516,54641.6312914863,24896.0967963263,35864.2312766612,31321.1738654748
1993-01-03,9.65975051517549,9.42906316978391,9.17742613853735,9.5382680579318,9.37972253552276,29572.196441792,54372.0676453859,24799.8712035939,35622.1401486173,31170.1123708189
1993-01-04,9.63719417678682,9.4009517921517,9.14325524523761,9.50788118802497,9.35920385761887,29454.3395737112,54090.5321983993,24636.1926246882,35426.6918013766,31051.2271510437
1993-01-05,9.59418280890113,9.36071504351873,9.10604509067467,9.45780874077411,9.33235220449456,29229.6051765084,53687.5611608401,24457.9559843317,35104.6258206591,30895.6486728415
1993-01-06,9.52809082675921,9.30737752611644,9.06662032447584,9.40067672458783,9.30405652126979,28884.2745698169,53153.3859240562,24269.1113542393,34737.1526925489,30731.7034842372
1993-01-07,9.44022920039139,9.25944810189787,9.06224951324887,9.35382067770767,9.26018849733547,28425.197572045,52673.3727405071,24248.1751684621,34435.7745990157,30477.5321535617
1993-01-08,9.40041815818925,9.23410150924297,9.05268094750094,9.31860413980573,9.25673308993234,28217.1848765388,52419.5266150683,24202.3417385295,34209.2618272305,30457.511523068
1993-01-09,9.36788193428203,9.20515785849041,9.02765612654652,9.28429063093334,9.24787966718124,28047.1831066236,52129.6559527814,24082.4728461579,33988.5573381633,30406.2147916481
1993-01-10,9.34014549799656,9.16102683225528,8.96564164885275,9.23358128061032,9.22853575700243,27902.260227032,51687.6837250367,23785.4234980047,33662.3947968856,30294.1361760721
1993-01-11,9.32287467340105,9.12320031147419,8.90539268285876,9.19166877676052,9.21215550275246,27812.0201685205,51308.851119414,23496.8309508935,33392.8135721236,30199.2289829478
1993-01-12,9.35029065657603,9.10455351743812,8.83649995752255,9.17439632528851,9.22535744965884,27955.2686806098,51122.1034771428,23166.834796533,33281.7171642557,30275.7210633233
1993-01-13,9.38567254896227,9.10859611225363,8.80635720164766,9.18060866396165,9.23766084399986,28140.1390683278,51162.5900642201,23022.4509958923,33321.6749266014,30347.0069301352
1993-01-14,9.41459813823825,9.13436688628797,8.82868665842989,9.20786271777365,9.27522939249287,28291.2752722949,51420.6843661741,23129.4090938792,33496.9730007201,30564.6791001037
1993-01-15,9.47673898679645,9.17355634572205,8.84284041678389,9.24491389636854,9.33329247376596,28615.9612060115,51813.1668024063,23197.2055963948,33735.2861814424,30901.096593
1993-01-16,9.55187879289451,9.2439130439536,8.9079796330525,9.31020198420469,9.38693371061255,29008.5666928738,52517.7891351953,23509.2224423215,34155.2191624045,31211.8939192891
1993-01-17,9.61938071265032,9.30429475137399,8.96059451177716,9.37187681717228,9.43453449483808,29361.2642235979,53122.5119350106,23761.2477114126,34551.9116880521,31487.6928630918
1993-01-18,9.66730877887261,9.35159858119262,9.00721741566485,9.41922913145608,9.47631579857033,29611.6883696094,53596.2597906441,23984.5714210346,34856.4817735255,31729.7737369165
1993-01-19,9.80186249811398,9.46155027088393,9.0903328622666,9.54134359488389,9.5557776538306,30314.7315526456,54697.4259629026,24382.694410257,35641.9220022932,32190.1757262945
1993-01-20,9.95499829234261,9.65026790838478,9.31786367953726,9.74860037241909,9.65876065210166,31114.8660774902,56587.4331024736,25472.5670249835,36974.9975953996,32786.859218277
1993-01-21,9.99794587800377,9.7415709025373,9.46191343973723,9.85327988469959,9.70400014435078,31339.2672125697,57501.8325889111,26162.5653763413,37648.2962183878,33048.9768363684
1993-01-22,9.99249396970398,9.75720308339051,9.50054444435338,9.88273969794443,9.70895267584389,31310.7809917033,57658.388880156,26347.6078884527,37837.7817371786,33077.6718038395
1993-01-23,9.97047872886846,9.72142579748044,9.44975532430665,9.84960536506208,9.69458278758251,31195.7513583377,57300.0793617666,26104.3280034289,37624.6617080793,32994.4126712531
1993-01-24,10.0063063959228,9.75750761636706,9.4861143756199,9.89548664164048,9.70539866531738,31382.9509186968,57661.4387779161,26278.4878592193,37919.7700790316,33057.0798668489
1993-01-25,10.0539542408993,9.83896645772356,9.60445473181679,9.97776010198477,9.72195172786178,31631.910908699,58477.2490741015,26845.3381654024,38448.952975966,33152.9883112311
1993-01-26,10.0703287500143,9.8889111823028,9.69101832399538,10.0245114977075,9.71949891196059,31717.4677188247,58977.4454907626,27259.9777719379,38749.6579532549,33138.7766958997
1993-01-27,10.0639712743069,9.90991540092248,9.74186906722026,10.0404779164002,9.71886886328505,31684.2499082536,59187.8027402386,27503.5528319851,38852.3539582863,33135.1261938736
1993-01-28,10.0606859991111,9.93483905548818,9.79756342283059,10.0638979116503,9.73174023689959,31667.0843453556,59437.4131407142,27770.3287953585,39002.991367735,33209.7029325962
1993-01-29,10.0540028836068,9.95663276341666,9.85042005402341,10.083863279956,9.74427092408142,31632.1650668457,59655.6771256179,28023.5120587721,39131.4086166769,33282.3057341278
1993-01-30,10.0383772198621,9.9670064847245,9.8891542736402,10.0891454873412,9.75387676451246,31550.5209737793,59759.5699445158,28209.0489707366,39165.3837745786,33337.9619735852
1993-01-31,10.0246822650809,9.9677938531264,9.90573916576476,10.0874030854268,9.77023679248071,31478.9648350477,59767.4554390609,28288.4906040132,39154.1766454652,33432.7519756332
1993-02-01,10.0336925206059,9.99238964473969,9.94733588139921,10.1117994452292,9.7978931987889,31526.0434201658,60013.782292068,28487.7388719022,39311.0940317139,33592.9931937829
1993-02-02,10.0414661018786,10.0116452853247,9.9791163152842,10.1310156296779,9.81876115929522,31566.6603823155,60206.6275325269,28639.9671502113,39434.6925300881,33713.9021569565
1993-02-03,10.0664332681737,10.0527006308853,10.0377208751792,10.1682519690801,9.85135720284192,31697.1138262078,60617.796818316,28920.6829921082,39674.1966651231,33902.7636332661
1993-02-04,10.0676018145994,10.061850442644,10.0555767644671,10.1731771782298,9.86023325374569,31703.2194812819,60709.4321830794,29006.2127017975,39705.8756103739,33954.1914722025
1993-02-05,10.0978616439041,10.1052671620631,10.1133452064014,10.2091677247463,9.89547717039791,31861.3270893991,61144.2506280616,29282.9235386625,39937.3668055683,34158.3947252855
1993-02-06,10.1504026368574,10.1733974199956,10.1984804558822,10.2667932753354,9.92753734389332,32135.85377758,61826.5751612559,29690.7213836759,40308.0143469572,34344.1513705179
1993-02-07,10.1955922728463,10.2266449816916,10.2605177173317,10.3128151875823,9.93935884707239,32371.969625622,62359.8494916409,29987.8798660189,40604.0272865295,34412.6451599374
1993-02-08,10.2361699633692,10.2728310204406,10.3128214219433,10.3544780773549,9.94679301691813,32583.9880586043,62822.4026697129,30238.4146111086,40872.0029935464,34455.7187400237
1993-02-09,10.2697373566031,10.3087034546222,10.3512082275135,10.3862307644345,9.95086342969978,32759.3776882514,63181.6650980413,30422.2874097899,41076.2362768427,34479.3027116805
