"","year","CutiSTIpjuv","bakun_sti"
"1",1988,-0.758684738392852,1.74005586705264
"2",1989,0.301265665349344,-0.716622504441073
"3",1990,-0.990548889211458,-1.299563134965
"4",1991,0.455841765895081,-0.591706655043088
"5",1992,-0.173503786326848,0.282704290742808
"6",1993,1.80286207065079,2.19808064817858
"7",1994,0.34543026550527,0.074511208412833
"8",1995,0.0583603644917578,-0.550068038577093
"9",1996,1.31705146893562,1.1987538529947
"10",1997,0.566253266284893,0.532535989538779
"11",1998,-0.394326787106472,-1.25792451849901
"12",1999,0.124607264725645,-1.00809281970304
"13",2000,-0.891178538860627,0.865644921266739
"14",2001,-1.45427719084867,0.282704290742808
"15",2002,-1.15616613979618,-0.300236339781123
"16",2003,0.665623616635724,0.157788441344823
"17",2004,-0.791808188509796,-0.0504046409851522
"18",2005,1.51579216963728,1.1987538529947
"19",2006,0.25710106519342,-0.175320490383137
"20",2007,0.53312981616795,0.157788441344823
"21",2008,-1.38803029061478,-1.04973143616903
"22",2009,-1.76342939194014,-1.25792451849901
"23",2010,0.301265665349344,1.69841725058664
"24",2011,0.135648414764626,0.199427057810818
"25",2012,1.04102271796109,0.449258756606789
"26",2013,-1.5536475411995,-0.550068038577093
"27",2014,0.820199717181462,0.699090455402759
"28",2015,0.544170966206931,-0.425152189179108
"29",2016,-0.0630922859370358,0.032872591946838
"30",2017,1.07414616807803,0.407620140140794
"31",2018,-0.0299688358200921,-0.216959106849132
"32",2019,-0.151421486248885,-0.216959106849132
"33",2020,-1.56468869123848,1.03219938713072
"34",2021,-0.869096238782664,-1.341201751431
"35",2022,2.13409657182023,2.0315261823146
