,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1988,255.492,130.059,127.668,621.525,1750.379,1950.297,2210.244,2088.329,4656.461,4092.901,2261.843,2659.092,1791.594,316.177,370.498,77.712,45.19
1989,380.079,158.462,187.324,659.203,2121.755,2015.389,1911.278,1832.085,4150.051,3452.822,1974.058,1659.413,1472.063,315.994,290.125,109.388,76.49
1990,140.34,101.302,144.263,453.102,1465.999,1436.452,1689.783,2349.396,4763.788,3929.57,2182.638,2259.845,1588.018,381.077,515.962,270.927,230.896
1991,271.841,196.835,180.038,849.831,2203.982,2467.094,2302.518,2892.155,5228.51,4573.972,3034.352,2891.771,2234.174,424.063,424.499,183.979,151.029
1992,108.417,39.871,20.942,105.14,336.402,394.065,495.916,698.141,1362.394,1486.135,854.917,781.024,541.263,146.57,138.028,60.359,40.963
1993,124.073,62.036,35.957,330.526,872.536,885.037,897.534,1263.875,2131.333,1793.411,1095.18,943.007,551.495,157.097,116.863,79.566,35.871
1994,114.679,91.862,110.047,434.692,1425.031,1394.319,1748.91,1953.442,3088.088,2904.316,1611.413,1546.392,730.857,149.333,164.099,30.698,27.393
1995,66.115,78.109,129.032,423.154,1288.036,1464.188,1100.159,1229.551,2098.794,1633.842,988.593,1083.117,648.015,205.447,191.499,61.579,36.884
1996,139.252,102.968,79.11,413.31,1337.474,1727.195,1923.231,1855.163,3701.889,2887.112,1569.578,1463.98,868.579,229.482,173.086,54.105,27.721
1997,180.038,73.054,69.015,399.933,1427.391,1628.11,1603.06,1438.911,2599.476,2079.039,890.088,790.965,506.111,42.495,47.069,3.347,26.594
1998,203.617,135.699,62.592,309.539,1021.225,1184.769,1032.259,1191.051,2600.509,2534.153,1580.62,1352.72,857.958,186.321,166.374,76.368,75.467
1999,563.319,264.356,280.11,770.395,2590.214,3240.289,3167.485,2878.423,5887.824,4562.692,2944.724,3155.915,1536.465,488.775,518.552,257.429,252.008
2000,320.343,160.489,172.258,594.949,1761.715,2167.732,1965.051,2026.946,3576.798,2896.065,1986.336,1792.124,1135.881,264.545,334.433,127.233,66.668
