date,mld_0_180,mld_0_90,mld_30_130
1/1/93,18.38435724,13.98765085,19.3953025
2/1/93,17.15080964,13.63543554,17.80273671
3/1/93,11.8505221,10.70550513,12.16796423
4/1/93,12.25925773,11.19778864,13.0127993
5/1/93,10.30804096,9.989061356,10.68719085
6/1/93,10.352866,10.01998883,10.75274309
7/1/93,10.43330117,10.08005457,10.8386954
8/1/93,10.31616257,9.972447427,10.69698288
9/1/93,10.43626868,10.05321669,10.81367131
10/1/93,10.48046898,10.02356721,10.83543139
11/1/93,13.19339905,11.68726057,13.74964998
12/1/93,17.39352083,14.52031899,18.82600443
1/1/94,15.71234759,12.97471233,16.54663615
2/1/94,16.39940455,13.15516517,17.71923241
3/1/94,12.57069023,10.91075106,13.08542357
4/1/94,11.01305917,10.20964322,11.40962548
5/1/94,10.27446123,9.945353941,10.65074272
6/1/94,10.30694767,9.949954722,10.67712681
7/1/94,10.44595214,10.09385691,10.85555946
8/1/94,10.24150623,9.932062797,10.63360665
9/1/94,10.1873101,9.893978559,10.55935038
10/1/94,10.99478555,10.29092368,11.29484106
11/1/94,15.43340153,12.7932371,16.24988307
12/1/94,18.13680432,14.65041884,19.43229464
1/1/95,21.1425809,15.9618969,22.92397133
2/1/95,13.2216685,11.44929798,13.87749045
3/1/95,14.48301699,12.2483002,15.4610802
4/1/95,11.38712178,10.53987703,11.80565891
5/1/95,10.36645408,10.01053167,10.74349505
6/1/95,10.41705795,10.05935106,10.81992733
7/1/95,10.15201234,9.874041843,10.52208625
8/1/95,10.29273485,9.963757063,10.68202283
9/1/95,10.2222955,9.911870483,10.58818249
10/1/95,10.77081654,10.20069726,11.12728845
11/1/95,11.8278753,10.7589253,12.06215585
12/1/95,18.30032981,14.56428201,19.36021438
1/1/96,19.69006221,14.34548933,20.79093958
2/1/96,16.98353572,13.40309612,18.39243486
3/1/96,11.93923506,10.38830687,12.14674815
4/1/96,11.90690481,10.90384989,12.48294138
5/1/96,10.61103948,10.14753269,10.97007188
6/1/96,10.66820312,10.22191197,11.12021642
7/1/96,10.28586272,9.968357844,10.66162276
8/1/96,10.38207256,10.01589924,10.77205516
9/1/96,10.305542,9.955833497,10.69154286
10/1/96,11.27373161,10.43431467,11.6103622
11/1/96,11.73197783,10.57336049,11.95308345
12/1/96,15.04981165,12.74007252,15.96890605
1/1/97,17.50909759,13.65460545,18.45472308
2/1/97,13.37332395,11.25146442,13.72217788
