lon,lat,dist_shore_km,Water_land
-130,32.8333,836.424,Fully in water
-130,32.75,841.037,Fully in water
-130,32.6667,845.726,Fully in water
-130,32.5833,850.487,Fully in water
-130,32.5,855.32,Fully in water
-130,32.4167,860.224,Fully in water
-130,32.3333,865.199,Fully in water
-130,32.25,870.243,Fully in water
-130,32.1667,875.355,Fully in water
-130,32.0833,880.533,Fully in water
-130,32,885.778,Fully in water
-130,31.9167,891.087,Fully in water
-130,31.8333,896.459,Fully in water
-130,31.75,901.893,Fully in water
-130,31.6667,907.389,Fully in water
-130,31.5833,912.944,Fully in water
-130,31.5,918.558,Fully in water
-130,31.4167,924.23,Fully in water
-130,31.3333,929.959,Fully in water
-130,31.25,935.743,Fully in water
-130,31.1667,941.583,Fully in water
-130,31.0833,947.475,Fully in water
-130,31,953.421,Fully in water
-129.9167,48,276.618,Fully in water
-129.9167,47.9167,284.543,Fully in water
-129.9167,47.8333,292.546,Fully in water
-129.9167,47.75,300.622,Fully in water
-129.9167,47.6667,308.764,Fully in water
-129.9167,47.5833,316.968,Fully in water
-129.9167,47.5,325.229,Fully in water
-129.9167,47.4167,331.649,Fully in water
-129.9167,47.3333,337.97,Fully in water
-129.9167,47.25,344.424,Fully in water
-129.9167,47.1667,351.004,Fully in water
-129.9167,47.0833,357.698,Fully in water
-129.9167,47,364.499,Fully in water
-129.9167,46.9167,371.406,Fully in water
-129.9167,46.8333,378.414,Fully in water
-129.9167,46.75,385.517,Fully in water
-129.9167,46.6667,392.71,Fully in water
-129.9167,46.5833,399.987,Fully in water
-129.9167,46.5,407.346,Fully in water
-129.9167,46.4167,414.78,Fully in water
-129.9167,46.3333,422.286,Fully in water
-129.9167,46.25,429.861,Fully in water
-129.9167,46.1667,437.501,Fully in water
-129.9167,46.0833,445.202,Fully in water
-129.9167,46,451.218,Fully in water
-129.9167,45.9167,452.274,Fully in water
-129.9167,45.8333,453.516,Fully in water
-129.9167,45.75,454.943,Fully in water
-129.9167,45.6667,456.553,Fully in water
-129.9167,45.5833,458.344,Fully in water
-129.9167,45.5,460.315,Fully in water
-129.9167,45.4167,462.462,Fully in water
-129.9167,45.3333,462.962,Fully in water
-129.9167,45.25,463.006,Fully in water
-129.9167,45.1667,462.491,Fully in water
-129.9167,45.0833,462.152,Fully in water
-129.9167,45,461.944,Fully in water
-129.9167,44.9167,461.921,Fully in water
-129.9167,44.8333,462.063,Fully in water
-129.9167,44.75,462.358,Fully in water
-129.9167,44.6667,462.621,Fully in water
-129.9167,44.5833,462.997,Fully in water
-129.9167,44.5,462.229,Fully in water
-129.9167,44.4167,459.968,Fully in water
-129.9167,44.3333,457.882,Fully in water
-129.9167,44.25,455.975,Fully in water
-129.9167,44.1667,454.248,Fully in water
-129.9167,44.0833,452.704,Fully in water
-129.9167,44,451.344,Fully in water
-129.9167,43.9167,449.54,Fully in water
-129.9167,43.8333,447.456,Fully in water
-129.9167,43.75,445.555,Fully in water
-129.9167,43.6667,443.839,Fully in water
-129.9167,43.5833,442.309,Fully in water
-129.9167,43.5,440.969,Fully in water
-129.9167,43.4167,439.818,Fully in water
-129.9167,43.3333,438.857,Fully in water
-129.9167,43.25,438.091,Fully in water
-129.9167,43.1667,437.518,Fully in water
-129.9167,43.0833,437.141,Fully in water
-129.9167,43,436.959,Fully in water
-129.9167,42.9167,436.973,Fully in water
-129.9167,42.8333,437.183,Fully in water
-129.9167,42.75,437.588,Fully in water
-129.9167,42.6667,438.188,Fully in water
-129.9167,42.5833,438.982,Fully in water
-129.9167,42.5,439.969,Fully in water
-129.9167,42.4167,441.149,Fully in water
-129.9167,42.3333,442.518,Fully in water
-129.9167,42.25,444.076,Fully in water
-129.9167,42.1667,445.82,Fully in water
-129.9167,42.0833,447.748,Fully in water
-129.9167,42,449.859,Fully in water
-129.9167,41.9167,452.148,Fully in water
-129.9167,41.8333,454.615,Fully in water
-129.9167,41.75,457.255,Fully in water
-129.9167,41.6667,460.004,Fully in water
-129.9167,41.5833,461.851,Fully in water
-129.9167,41.5,463.875,Fully in water
-129.9167,41.4167,466.074,Fully in water
-129.9167,41.3333,468.445,Fully in water
-129.9167,41.25,470.921,Fully in water
-129.9167,41.1667,471.226,Fully in water
-129.9167,41.0833,470.03,Fully in water
-129.9167,41,469.013,Fully in water
-129.9167,40.9167,468.176,Fully in water
-129.9167,40.8333,467.521,Fully in water
-129.9167,40.75,467.048,Fully in water
-129.9167,40.6667,466.758,Fully in water
-129.9167,40.5833,466.65,Fully in water
-129.9167,40.5,466.726,Fully in water
-129.9167,40.4167,466.985,Fully in water
-129.9167,40.3333,467.427,Fully in water
-129.9167,40.25,468.05,Fully in water
-129.9167,40.1667,468.849,Fully in water
-129.9167,40.0833,469.828,Fully in water
-129.9167,40,470.986,Fully in water
-129.9167,39.9167,472.322,Fully in water
-129.9167,39.8333,473.835,Fully in water
-129.9167,39.75,475.523,Fully in water
-129.9167,39.6667,477.384,Fully in water
-129.9167,39.5833,479.416,Fully in water
-129.9167,39.5,481.617,Fully in water
-129.9167,39.4167,483.985,Fully in water
-129.9167,39.3333,486.409,Fully in water
-129.9167,39.25,488.728,Fully in water
-129.9167,39.1667,491.209,Fully in water
-129.9167,39.0833,493.85,Fully in water
-129.9167,39,496.649,Fully in water
-129.9167,38.9167,499.604,Fully in water
-129.9167,38.8333,502.711,Fully in water
-129.9167,38.75,505.967,Fully in water
-129.9167,38.6667,509.371,Fully in water
-129.9167,38.5833,512.919,Fully in water
-129.9167,38.5,516.607,Fully in water
-129.9167,38.4167,520.434,Fully in water
-129.9167,38.3333,524.395,Fully in water
-129.9167,38.25,528.488,Fully in water
-129.9167,38.1667,532.711,Fully in water
-129.9167,38.0833,537.058,Fully in water
-129.9167,38,541.529,Fully in water
-129.9167,37.9167,546.12,Fully in water
-129.9167,37.8333,550.827,Fully in water
-129.9167,37.75,555.647,Fully in water
-129.9167,37.6667,558.333,Fully in water
-129.9167,37.5833,561.067,Fully in water
-129.9167,37.5,563.939,Fully in water
-129.9167,37.4167,566.948,Fully in water
-129.9167,37.3333,570.09,Fully in water
-129.9167,37.25,573.308,Fully in water
-129.9167,37.1667,576.653,Fully in water
-129.9167,37.0833,580.125,Fully in water
-129.9167,37,583.722,Fully in water
-129.9167,36.9167,587.443,Fully in water
-129.9167,36.8333,591.284,Fully in water
-129.9167,36.75,595.244,Fully in water
-129.9167,36.6667,599.32,Fully in water
-129.9167,36.5833,603.51,Fully in water
-129.9167,36.5,607.811,Fully in water
-129.9167,36.4167,612.222,Fully in water
-129.9167,36.3333,616.739,Fully in water
-129.9167,36.25,621.36,Fully in water
-129.9167,36.1667,626.084,Fully in water
-129.9167,36.0833,630.907,Fully in water
-129.9167,36,635.828,Fully in water
-129.9167,35.9167,640.845,Fully in water
-129.9167,35.8333,645.954,Fully in water
-129.9167,35.75,651.154,Fully in water
-129.9167,35.6667,656.442,Fully in water
-129.9167,35.5833,661.818,Fully in water
-129.9167,35.5,667.277,Fully in water
-129.9167,35.4167,672.819,Fully in water
-129.9167,35.3333,678.442,Fully in water
-129.9167,35.25,684.143,Fully in water
-129.9167,35.1667,689.92,Fully in water
-129.9167,35.0833,695.771,Fully in water
-129.9167,35,701.006,Fully in water
-129.9167,34.9167,705.718,Fully in water
-129.9167,34.8333,710.52,Fully in water
-129.9167,34.75,715.408,Fully in water
-129.9167,34.6667,720.381,Fully in water
-129.9167,34.5833,725.437,Fully in water
-129.9167,34.5,730.575,Fully in water
-129.9167,34.4167,735.793,Fully in water
-129.9167,34.3333,741.089,Fully in water
-129.9167,34.25,746.462,Fully in water
-129.9167,34.1667,751.909,Fully in water
-129.9167,34.0833,757.43,Fully in water
-129.9167,34,763.022,Fully in water
-129.9167,33.9167,768.684,Fully in water
-129.9167,33.8333,774.415,Fully in water
-129.9167,33.75,780.213,Fully in water
-129.9167,33.6667,786.001,Fully in water
-129.9167,33.5833,790.936,Fully in water
-129.9167,33.5,795.374,Fully in water
-129.9167,33.4167,799.367,Fully in water
-129.9167,33.25,807.61,Fully in water
-129.9167,33.1667,811.857,Fully in water
-129.9167,33.0833,816.186,Fully in water
-129.9167,33,820.596,Fully in water
-129.9167,32.9167,825.085,Fully in water
-129.9167,32.8333,829.652,Fully in water
-129.9167,32.75,834.297,Fully in water
-129.9167,32.6667,839.016,Fully in water
-129.9167,32.5833,843.807,Fully in water
-129.9167,32.5,848.672,Fully in water
-129.9167,32.4167,853.608,Fully in water
-129.9167,32.3333,858.615,Fully in water
-129.9167,32.25,863.691,Fully in water
-129.9167,32.1667,868.835,Fully in water
-129.9167,32.0833,874.046,Fully in water
-129.9167,32,879.323,Fully in water
-129.9167,31.9167,884.665,Fully in water
-129.9167,31.8333,890.07,Fully in water
-129.9167,31.75,895.537,Fully in water
-129.9167,31.6667,901.065,Fully in water
-129.9167,31.5833,906.653,Fully in water
-129.9167,31.5,912.3,Fully in water
-129.9167,31.4167,918.005,Fully in water
-129.9167,31.3333,923.767,Fully in water
-129.9167,31.25,929.584,Fully in water
-129.9167,31.1667,935.456,Fully in water
-129.9167,31.0833,941.382,Fully in water
-129.9167,31,947.36,Fully in water
-129.8333,48,273.398,Fully in water
-129.8333,47.9167,281.409,Fully in water
-129.8333,47.8333,289.494,Fully in water
-129.8333,47.75,297.647,Fully in water
-129.8333,47.6667,305.864,Fully in water
-129.8333,47.5833,314.139,Fully in water
-129.8333,47.5,320.771,Fully in water
-129.8333,47.4167,327.033,Fully in water
-129.8333,47.3333,333.435,Fully in water
-129.8333,47.25,339.968,Fully in water
-129.8333,47.1667,346.623,Fully in water
-129.8333,47.0833,353.388,Fully in water
-129.8333,47,360.264,Fully in water
-129.8333,46.9167,367.244,Fully in water
-129.8333,46.8333,374.323,Fully in water
-129.8333,46.75,381.496,Fully in water
-129.8333,46.6667,388.757,Fully in water
-129.8333,46.5833,396.101,Fully in water
-129.8333,46.5,403.524,Fully in water
-129.8333,46.4167,411.022,Fully in water
-129.8333,46.3333,418.59,Fully in water
-129.8333,46.25,426.225,Fully in water
-129.8333,46.1667,433.923,Fully in water
-129.8333,46.0833,441.681,Fully in water
-129.8333,46,444.798,Fully in water
-129.8333,45.9167,445.859,Fully in water
-129.8333,45.8333,447.109,Fully in water
-129.8333,45.75,448.547,Fully in water
-129.8333,45.6667,450.171,Fully in water
-129.8333,45.5833,451.978,Fully in water
-129.8333,45.5,453.966,Fully in water
-129.8333,45.4167,456.134,Fully in water
-129.8333,45.3333,456.435,Fully in water
-129.8333,45.25,456.478,Fully in water
-129.8333,45.1667,455.947,Fully in water
-129.8333,45.0833,455.594,Fully in water
-129.8333,45,455.374,Fully in water
-129.8333,44.9167,455.341,Fully in water
-129.8333,44.8333,455.475,Fully in water
-129.8333,44.75,455.76,Fully in water
-129.8333,44.6667,456.018,Fully in water
-129.8333,44.5833,456.383,Fully in water
-129.8333,44.5,455.822,Fully in water
-129.8333,44.4167,453.52,Fully in water
-129.8333,44.3333,451.395,Fully in water
-129.8333,44.25,449.451,Fully in water
-129.8333,44.1667,447.69,Fully in water
-129.8333,44.0833,446.114,Fully in water
-129.8333,44,444.724,Fully in water
-129.8333,43.9167,443.037,Fully in water
-129.8333,43.8333,440.914,Fully in water
-129.8333,43.75,438.975,Fully in water
-129.8333,43.6667,437.224,Fully in water
-129.8333,43.5833,435.662,Fully in water
-129.8333,43.5,434.291,Fully in water
-129.8333,43.4167,433.114,Fully in water
-129.8333,43.3333,432.129,Fully in water
-129.8333,43.25,431.341,Fully in water
-129.8333,43.1667,430.751,Fully in water
-129.8333,43.0833,430.358,Fully in water
-129.8333,43,430.164,Fully in water
-129.8333,42.9167,430.169,Fully in water
-129.8333,42.8333,430.373,Fully in water
-129.8333,42.75,430.775,Fully in water
-129.8333,42.6667,431.376,Fully in water
-129.8333,42.5833,432.173,Fully in water
-129.8333,42.5,433.167,Fully in water
-129.8333,42.4167,434.355,Fully in water
-129.8333,42.3333,435.737,Fully in water
-129.8333,42.25,437.31,Fully in water
-129.8333,42.1667,439.072,Fully in water
-129.8333,42.0833,441.021,Fully in water
-129.8333,42,443.155,Fully in water
-129.8333,41.9167,445.47,Fully in water
-129.8333,41.8333,447.964,Fully in water
-129.8333,41.75,450.635,Fully in water
-129.8333,41.6667,453.191,Fully in water
-129.8333,41.5833,455.057,Fully in water
-129.8333,41.5,457.102,Fully in water
-129.8333,41.4167,459.325,Fully in water
-129.8333,41.3333,461.722,Fully in water
-129.8333,41.25,464.193,Fully in water
-129.8333,41.1667,464.302,Fully in water
-129.8333,41.0833,463.079,Fully in water
-129.8333,41,462.038,Fully in water
-129.8333,40.9167,461.18,Fully in water
-129.8333,40.8333,460.506,Fully in water
-129.8333,40.75,460.016,Fully in water
-129.8333,40.6667,459.713,Fully in water
-129.8333,40.5833,459.595,Fully in water
-129.8333,40.5,459.663,Fully in water
-129.8333,40.4167,459.918,Fully in water
-129.8333,40.3333,460.357,Fully in water
-129.8333,40.25,460.981,Fully in water
-129.8333,40.1667,461.783,Fully in water
-129.8333,40.0833,462.768,Fully in water
-129.8333,40,463.935,Fully in water
-129.8333,39.9167,465.283,Fully in water
-129.8333,39.8333,466.811,Fully in water
-129.8333,39.75,468.515,Fully in water
-129.8333,39.6667,470.395,Fully in water
-129.8333,39.5833,472.449,Fully in water
-129.8333,39.5,474.674,Fully in water
-129.8333,39.4167,477.067,Fully in water
-129.8333,39.3333,479.439,Fully in water
-129.8333,39.25,481.783,Fully in water
-129.8333,39.1667,484.291,Fully in water
-129.8333,39.0833,486.962,Fully in water
-129.8333,39,489.792,Fully in water
-129.8333,38.9167,492.78,Fully in water
-129.8333,38.8333,495.922,Fully in water
-129.8333,38.75,499.215,Fully in water
-129.8333,38.6667,502.656,Fully in water
-129.8333,38.5833,506.243,Fully in water
-129.8333,38.5,509.972,Fully in water
-129.8333,38.4167,513.84,Fully in water
-129.8333,38.3333,517.844,Fully in water
-129.8333,38.25,521.981,Fully in water
-129.8333,38.1667,526.248,Fully in water
-129.8333,38.0833,530.642,Fully in water
-129.8333,38,535.158,Fully in water
-129.8333,37.9167,539.796,Fully in water
-129.8333,37.8333,544.55,Fully in water
-129.8333,37.75,548.676,Fully in water
-129.8333,37.6667,551.295,Fully in water
-129.8333,37.5833,554.056,Fully in water
-129.8333,37.5,556.957,Fully in water
-129.8333,37.4167,559.995,Fully in water
-129.8333,37.3333,563.155,Fully in water
-129.8333,37.25,566.401,Fully in water
-129.8333,37.1667,569.778,Fully in water
-129.8333,37.0833,573.283,Fully in water
-129.8333,37,576.916,Fully in water
-129.8333,36.9167,580.673,Fully in water
-129.8333,36.8333,584.551,Fully in water
-129.8333,36.75,588.549,Fully in water
-129.8333,36.6667,592.664,Fully in water
-129.8333,36.5833,596.893,Fully in water
-129.8333,36.5,601.234,Fully in water
-129.8333,36.4167,605.686,Fully in water
-129.8333,36.3333,610.244,Fully in water
-129.8333,36.25,614.907,Fully in water
-129.8333,36.1667,619.673,Fully in water
-129.8333,36.0833,624.539,Fully in water
-129.8333,36,629.503,Fully in water
-129.8333,35.9167,634.562,Fully in water
-129.8333,35.8333,639.715,Fully in water
-129.8333,35.75,644.959,Fully in water
-129.8333,35.6667,650.291,Fully in water
-129.8333,35.5833,655.71,Fully in water
-129.8333,35.5,661.214,Fully in water
-129.8333,35.4167,666.8,Fully in water
-129.8333,35.3333,672.466,Fully in water
-129.8333,35.25,678.211,Fully in water
-129.8333,35.1667,684.032,Fully in water
-129.8333,35.0833,689.789,Fully in water
-129.8333,35,694.448,Fully in water
-129.8333,34.9167,699.198,Fully in water
-129.8333,34.8333,704.037,Fully in water
-129.8333,34.75,708.963,Fully in water
-129.8333,34.6667,713.975,Fully in water
-129.8333,34.5833,719.07,Fully in water
-129.8333,34.5,724.246,Fully in water
-129.8333,34.4167,729.503,Fully in water
-129.8333,34.3333,734.838,Fully in water
-129.8333,34.25,740.249,Fully in water
-129.8333,34.1667,745.736,Fully in water
-129.8333,34.0833,751.295,Fully in water
-129.8333,34,756.927,Fully in water
-129.8333,33.9167,762.628,Fully in water
-129.8333,33.8333,768.398,Fully in water
-129.8333,33.75,774.235,Fully in water
-129.8333,33.6667,779.457,Fully in water
-129.8333,33.5833,784.417,Fully in water
-129.8333,33.5,788.379,Fully in water
-129.8333,33.4167,792.4,Fully in water
-129.8333,33.3333,796.508,Fully in water
-129.8333,33.25,800.701,Fully in water
-129.8333,33.1667,804.978,Fully in water
-129.8333,33.0833,809.337,Fully in water
-129.8333,33,813.777,Fully in water
-129.8333,32.9167,818.297,Fully in water
-129.8333,32.8333,822.896,Fully in water
-129.8333,32.75,827.571,Fully in water
-129.8333,32.6667,832.321,Fully in water
-129.8333,32.5833,837.144,Fully in water
-129.8333,32.5,842.041,Fully in water
-129.8333,32.4167,847.009,Fully in water
-129.8333,32.3333,852.048,Fully in water
-129.8333,32.25,857.157,Fully in water
-129.8333,32.1667,862.334,Fully in water
-129.8333,32.0833,867.578,Fully in water
-129.8333,32,872.888,Fully in water
-129.8333,31.9167,878.263,Fully in water
-129.8333,31.8333,883.701,Fully in water
-129.8333,31.75,889.201,Fully in water
-129.8333,31.6667,894.763,Fully in water
-129.8333,31.5833,900.384,Fully in water
-129.8333,31.5,906.065,Fully in water
-129.8333,31.4167,911.803,Fully in water
-129.8333,31.3333,917.598,Fully in water
-129.8333,31.25,923.448,Fully in water
-129.8333,31.1667,929.353,Fully in water
-129.8333,31.0833,935.312,Fully in water
-129.8333,31,941.323,Fully in water
-129.75,48,270.277,Fully in water
-129.75,47.9167,278.372,Fully in water
-129.75,47.8333,286.538,Fully in water
-129.75,47.75,294.769,Fully in water
-129.75,47.6667,303.059,Fully in water
-129.75,47.5833,309.927,Fully in water
-129.75,47.5,316.125,Fully in water
-129.75,47.4167,322.469,Fully in water
-129.75,47.3333,328.953,Fully in water
-129.75,47.25,335.566,Fully in water
-129.75,47.1667,342.293,Fully in water
-129.75,47.0833,349.134,Fully in water
-129.75,47,356.086,Fully in water
-129.75,46.9167,363.14,Fully in water
-129.75,46.8333,370.291,Fully in water
-129.75,46.75,377.534,Fully in water
-129.75,46.6667,384.864,Fully in water
-129.75,46.5833,392.275,Fully in water
-129.75,46.5,399.763,Fully in water
-129.75,46.4167,407.324,Fully in water
-129.75,46.3333,414.954,Fully in water
-129.75,46.25,422.649,Fully in water
-129.75,46.1667,430.406,Fully in water
-129.75,46.0833,437.504,Fully in water
-129.75,46,438.378,Fully in water
-129.75,45.9167,439.445,Fully in water
-129.75,45.8333,440.704,Fully in water
-129.75,45.75,442.153,Fully in water
-129.75,45.6667,443.79,Fully in water
-129.75,45.5833,445.613,Fully in water
-129.75,45.5,447.621,Fully in water
-129.75,45.4167,449.662,Fully in water
-129.75,45.3333,449.907,Fully in water
-129.75,45.25,449.952,Fully in water
-129.75,45.1667,449.403,Fully in water
-129.75,45.0833,449.037,Fully in water
-129.75,45,448.804,Fully in water
-129.75,44.9167,448.761,Fully in water
-129.75,44.8333,448.887,Fully in water
-129.75,44.75,449.162,Fully in water
-129.75,44.6667,449.414,Fully in water
-129.75,44.5833,449.77,Fully in water
-129.75,44.5,449.424,Fully in water
-129.75,44.4167,447.079,Fully in water
-129.75,44.3333,444.914,Fully in water
-129.75,44.25,442.933,Fully in water
-129.75,44.1667,441.136,Fully in water
-129.75,44.0833,439.527,Fully in water
-129.75,44,438.108,Fully in water
-129.75,43.9167,436.542,Fully in water
-129.75,43.8333,434.378,Fully in water
-129.75,43.75,432.401,Fully in water
-129.75,43.6667,430.614,Fully in water
-129.75,43.5833,429.018,Fully in water
-129.75,43.5,427.617,Fully in water
-129.75,43.4167,426.412,Fully in water
-129.75,43.3333,425.403,Fully in water
-129.75,43.25,424.593,Fully in water
-129.75,43.1667,423.984,Fully in water
-129.75,43.0833,423.576,Fully in water
-129.75,43,423.369,Fully in water
-129.75,42.9167,423.365,Fully in water
-129.75,42.8333,423.563,Fully in water
-129.75,42.75,423.963,Fully in water
-129.75,42.6667,424.564,Fully in water
-129.75,42.5833,425.365,Fully in water
-129.75,42.5,426.365,Fully in water
-129.75,42.4167,427.563,Fully in water
-129.75,42.3333,428.958,Fully in water
-129.75,42.25,430.546,Fully in water
-129.75,42.1667,432.327,Fully in water
-129.75,42.0833,434.298,Fully in water
-129.75,42,436.455,Fully in water
-129.75,41.9167,438.797,Fully in water
-129.75,41.8333,441.32,Fully in water
-129.75,41.75,444.022,Fully in water
-129.75,41.6667,446.381,Fully in water
-129.75,41.5833,448.267,Fully in water
-129.75,41.5,450.334,Fully in water
-129.75,41.4167,452.581,Fully in water
-129.75,41.3333,455.005,Fully in water
-129.75,41.25,457.471,Fully in water
-129.75,41.1667,457.381,Fully in water
-129.75,41.0833,456.13,Fully in water
-129.75,41,455.064,Fully in water
-129.75,40.9167,454.184,Fully in water
-129.75,40.8333,453.491,Fully in water
-129.75,40.75,452.986,Fully in water
-129.75,40.6667,452.668,Fully in water
-129.75,40.5833,452.54,Fully in water
-129.75,40.5,452.6,Fully in water
-129.75,40.4167,452.85,Fully in water
-129.75,40.3333,453.288,Fully in water
-129.75,40.25,453.912,Fully in water
-129.75,40.1667,454.717,Fully in water
-129.75,40.0833,455.709,Fully in water
-129.75,40,456.886,Fully in water
-129.75,39.9167,458.246,Fully in water
-129.75,39.8333,459.788,Fully in water
-129.75,39.75,461.51,Fully in water
-129.75,39.6667,463.41,Fully in water
-129.75,39.5833,465.486,Fully in water
