date,lst_90_180,lst_0_180,lst_0_90,lst_30_130,lst_180_549
10/1/98,-0.041773838,-0.044042464,-0.045826739,-0.046916839,-0.017071534
11/1/98,0.012284372,0.022516781,0.03286987,0.022510894,0.011807857
12/1/98,-0.054657417,-0.052623946,-0.050467229,-0.058432588,-0.030582401
1/1/99,-0.008864425,-0.004589228,-0.000195077,-0.002933703,0.011673267
2/1/99,0.011061633,0.030475254,0.04969228,0.03475315,0.003061834
3/1/99,-0.0562169,-0.04233444,-0.028180612,-0.04437836,-0.044967144
4/1/99,-0.165342449,-0.16588624,-0.165737349,-0.175531994,-0.085719099
5/1/99,-0.15648774,-0.155701602,-0.154268146,-0.163189859,-0.056300762
6/1/99,-0.108671733,-0.117129051,-0.124928889,-0.125718806,-0.031461223
7/1/99,-0.079813172,-0.098072676,-0.115634241,-0.106830007,0.002306937
8/1/99,-0.081725523,-0.093866415,-0.105502755,-0.100856524,-0.012985398
9/1/99,-0.080468331,-0.092472582,-0.10414182,-0.096900644,-0.022681213
10/1/99,-0.010732262,-0.018652917,-0.026341052,-0.02033295,0.016190125
11/1/99,0.045185585,0.05824956,0.071263227,0.063533251,0.021747847
12/1/99,-0.031081334,-0.035636968,-0.039753261,-0.038649439,-0.009318594
1/1/00,0.02289908,0.019530641,0.016344403,0.016703297,0.0216418
2/1/00,0.040950686,0.04564407,0.050395243,0.047198916,0.014749622
3/1/00,-0.094261609,-0.096988453,-0.099427834,-0.104165985,-0.070727888
4/1/00,-0.096179058,-0.092754882,-0.089180195,-0.100401873,-0.054043286
5/1/00,-0.125441479,-0.123497489,-0.121099685,-0.130135535,-0.062424975
6/1/00,-0.130310039,-0.127010966,-0.122947349,-0.13620221,-0.036127689
7/1/00,-0.127614363,-0.13562699,-0.142984197,-0.141943692,-0.042141136
8/1/00,-0.092621437,-0.099803946,-0.106431155,-0.102293226,-0.027815519
9/1/00,-0.04419568,-0.052191938,-0.059853027,-0.054336213,0.001207173
10/1/00,-0.034632961,-0.035747208,-0.036722635,-0.036579149,-0.009078865
11/1/00,-0.018972466,-0.024353368,-0.029599588,-0.025530068,-0.006454287
12/1/00,0.003266976,0.008098916,0.012938186,0.011808102,-0.011539813
1/1/01,0.030310758,0.027287263,0.024213961,0.027827574,0.018173567
