date,cst_90_180,cst_0_180,cst_0_90,cst_30_130,cst_180_549
2/1/99,0.022077926,0.019539113,0.016781128,0.019713065,0.019178493
3/1/99,0.022249434,0.022512442,0.022571882,0.02365035,0.02336995
4/1/99,0.015030211,0.019187176,0.023043913,0.020404503,0.011075149
5/1/99,0.002983289,0.012518667,0.021655366,0.015312702,-0.015047207
6/1/99,0.003406511,0.010924879,0.018143642,0.013376818,-0.015799608
7/1/99,-0.010426043,-0.000556645,0.009056709,0.001311866,-0.027160952
8/1/99,-0.000975986,0.008371401,0.017486632,0.011113239,-0.01223826
9/1/99,-0.00250832,0.001163123,0.004656975,0.001895812,-0.008344706
10/1/99,-0.004574055,0.000406936,0.005156481,0.000974167,-0.005642033
11/1/99,0.007298602,0.006137487,0.004760214,0.006356963,0.006400197
12/1/99,0.004019224,0.006686142,0.009131168,0.007788445,-0.003999284
1/1/00,0.000610163,0.004468999,0.008076174,0.005402695,-0.006178211
2/1/00,0.007583116,0.007396386,0.006984913,0.009066221,0.009801998
3/1/00,0.017829797,0.020095103,0.022234139,0.021852297,0.014623019
4/1/00,0.018782975,0.022631637,0.026329925,0.022959782,0.01239699
5/1/00,0.015473139,0.020086838,0.024639352,0.022651661,0.002835492
6/1/00,-0.00549154,0.001241645,0.007688837,0.003623998,-0.022549482
7/1/00,0.004501222,0.013957409,0.023070564,0.018776522,-0.0141378
8/1/00,-0.008949248,-0.000729117,0.007308026,0.001371457,-0.01493331
9/1/00,-0.004698086,0.000181702,0.004857203,0.002038645,-0.009126557
10/1/00,0.005342772,0.007434924,0.009457235,0.008695193,-0.000897745
11/1/00,0.005698603,0.007605158,0.009422547,0.008191118,-0.000294862
12/1/00,0.006051816,0.005180449,0.004231378,0.005587774,0.011871521
1/1/01,-0.000956417,0.001501009,0.003951745,0.003212953,-0.001346436
2/1/01,0.006098465,0.006291948,0.006424136,0.006651002,0.009913808
3/1/01,0.010817361,0.012945751,0.014859279,0.014759475,0.003688903
4/1/01,0.019167126,0.021834088,0.024359032,0.023879089,0.010827117
5/1/01,-0.005147561,0.00125239,0.007492043,0.002829364,-0.013616006
6/1/01,0.001038966,0.008020739,0.014929685,0.009601233,-0.003201823
7/1/01,-0.008156759,-0.000742411,0.006643872,0.00029442,-0.015704996
8/1/01,-0.000963032,0.006207709,0.013077075,0.00721483,-0.006618734
9/1/01,-0.012589695,-0.006640923,-0.000674114,-0.007172801,-0.016287187
10/1/01,-0.008089507,-0.004098052,-0.000354092,-0.00508756,-0.013630436
11/1/01,-0.005312109,-0.005634292,-0.006278996,-0.007749026,-0.005558221
12/1/01,0.005499602,0.009057056,0.012347048,0.010402174,0.003056888
1/1/02,0.002420602,0.005345931,0.007885013,0.007465481,-0.004306034
2/1/02,0.006230145,0.006403979,0.00620701,0.007585695,-0.003428619
3/1/02,0.018406954,0.02026365,0.021931564,0.021025693,0.010506708
4/1/02,0.010202512,0.011662124,0.012929325,0.011044242,0.008722608
5/1/02,0.013241202,0.018075988,0.022758716,0.018698065,0.007253699
6/1/02,0.008629868,0.01331167,0.017869504,0.013841963,-0.006058415
7/1/02,-0.01235128,-0.004570251,0.003167729,-0.003553751,-0.031339476
8/1/02,-0.002388974,0.005502699,0.013044448,0.008428122,-0.018726081
9/1/02,-0.02005002,-0.013438717,-0.007000024,-0.012464905,-0.031089946
10/1/02,-0.004766717,0.000803093,0.006215184,0.001294359,-0.006085233
11/1/02,-0.008501634,-0.00735988,-0.006331681,-0.0051658,-0.019262441
12/1/02,-0.008409369,-0.00585653,-0.003589892,-0.003452892,-0.009943031
1/1/03,0.010914036,0.009432584,0.007754504,0.011505473,0.010591336
2/1/03,-0.002624978,0.001566719,0.005549725,0.002842087,-0.003555312
3/1/03,0.033886226,0.03196042,0.029822965,0.033286108,0.039051168
4/1/03,0.010805234,0.013698563,0.016379847,0.014868,0.003339861
5/1/03,0.011048334,0.014681671,0.018132995,0.014128662,0.00254848
6/1/03,-0.00705874,0.000303274,0.007472673,0.000860151,-0.021916651
7/1/03,-0.013470039,-0.004219107,0.004649694,-0.002378682,-0.031653986
8/1/03,-0.013523717,-0.002670813,0.007847165,0.000728029,-0.032252467
9/1/03,-0.001480379,0.003434645,0.008249751,0.004953263,-0.014244845
10/1/03,-0.012853536,-0.008019086,-0.003229755,-0.005924005,-0.026126939
11/1/03,0.002970128,0.006365269,0.009728694,0.007256587,-0.001395715
12/1/03,0.003217708,0.002405113,0.001388273,0.001907774,0.006662297
1/1/04,0.006933814,0.009877025,0.012703613,0.011594967,0.008722245
2/1/04,0.024819355,0.023188247,0.021435698,0.024998536,0.023448452
3/1/04,0.015535844,0.017495683,0.019196575,0.018088837,0.005256235
4/1/04,0.022992172,0.023639782,0.024063051,0.022401989,0.020156283
5/1/04,0.012573915,0.020099511,0.027430322,0.021570274,-0.001631496
6/1/04,-0.000331714,0.009323652,0.018807658,0.011729808,-0.019599957
7/1/04,-0.018444715,-0.01039372,-0.00251436,-0.009932679,-0.029174025
8/1/04,-0.011637895,-0.002886473,0.005661001,-0.000583022,-0.023656371
9/1/04,-0.00230167,0.00321933,0.008489339,0.004756929,-0.016785974
