year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart
1993,30563.2443451111,,29306.6523601695,46516.1005921569,35567.7860594262,,10.071290349925
1994,32852.7768909854,30939.8485534426,28754.1229774576,41813.0780321568,37359.1715472951,10.712745093663,10.0237094052917
1995,34521.6997182117,30534.471652459,32563.9231194915,41866.2812577778,38979.6630939344,11.4587982108696,10.566410615
1996,35897.5611485818,35309.5542557377,31643.4695131667,41029.7258048366,35151.6350667213,11.0253207611957,10.8106661455537
1997,31841.6333881752,30660.9584306557,27106.3865516949,44850.3530821569,47657.2154834427,10.52898956275,9.71290475365
1998,43451.9205183942,44863.6991918033,38130.1941235593,46251.6601257516,38747.5802942623,12.6879655125,11.760387835
1999,34024.8037487226,35994.3879986885,24875.5867938983,37003.4123005229,36317.4107685246,11.2115846395652,9.2337244778
2000,32816.4800549091,34215.4496985246,28768.5334513333,39821.4021571242,34925.687880082,10.550325549837,9.88892504776859
2001,31585.9804114598,30290.3823208197,26365.7967135593,37581.2560336601,35688.045975082,10.5699902581304,9.58674848861667
2002,31191.5189881752,32605.3408493443,23877.8656689831,35593.5186605229,35875.903054918,10.47775117275,9.22741096581667
2003,33119.152105292,36032.2926354098,31781.370831017,40685.8800497386,36961.9327567213,9.63663255058695,10.74274982925
2004,33193.7002018545,33469.3400801639,28256.607747,41533.0008186275,37092.5075578688,10.7278696616304,10.0024552009587
2005,34373.1242890876,31274.6389632787,31932.6214574576,45000.0657498039,36357.1211391803,11.2024984647826,10.5094440555167
2006,33800.058910365,34084.8467644262,27933.5669018644,40194.3019880392,35594.2964406557,10.5160231697065,10.2474189319833
2007,31426.7859681022,32604.4236490164,26075.9404394915,39124.4780814379,33519.4237817213,10.2751116145109,9.44239173564167
2008,29785.7007166182,29493.4481693443,22669.6584675,33942.0712193464,34894.1464416393,10.4418494991522,8.62201564945455
2009,29920.2724635036,31043.5491837705,23992.1734847458,36088.9736588889,37006.0482806557,10.4517999364783,8.88597897403333
2010,33602.9069136496,32798.4926232787,32298.9406759322,38629.0685745098,36684.452265,10.7802218115217,10.454024457
2011,31515.817865073,34225.6601509836,24896.34764,36888.5928924837,35536.5932055738,10.4163315204239,9.37267281220833
2012,30198.3687804727,29778.9121226229,22444.94271,37789.0600448366,36486.6310203279,10.7877752450326,8.94648426415703
2013,31546.9369742701,37471.7320745902,23382.5690557627,37210.4327871896,36154.5946907377,10.13081359825,9.14389768604167
2014,31463.514859562,27352.8552529508,26796.6236350848,40167.3454745752,45694.9926334426,11.3109030979348,9.50572109885
2015,40370.6012192336,45986.1365777049,36565.0252162712,42309.3007992157,43221.8736952459,11.6380959397826,11.3981402055833
2016,39675.0133354182,40822.5434267213,35955.2635818333,43106.4094728758,42503.4527736065,11.8648778542391,11.2919452186777
2017,37167.3864212044,43988.7334227869,30427.8621547458,42975.9445730065,39535.6400680328,11.1225246332609,10.346945676275
2018,34916.9875151825,36333.2245878689,28075.9824637288,41540.5574891503,38975.466992623,11.0926877841304,10.12871959425
2019,35490.3060922628,35936.9281822951,29921.0226054237,44875.9755564706,39158.0445961476,11.1063028345652,10.5394828354083
2020,35511.3878137818,32409.5095422951,26988.1064381667,42036.2926787582,38195.7744339344,11.9067711640217,9.80726712708264
2021,33581.6438894525,33121.8670255738,25187.3022072882,37935.7102920261,38964.4969957377,11.2080536879348,9.43849433559166
2022,33939.699685365,37778.6062257377,25095.0329066102,39642.296378366,34974.0362830328,10.9479144557609,9.4346186508
2023,31851.9438293431,30499.0028372131,23532.3921857627,39950.0267978431,41952.9302454918,10.676196183087,9.39018399826667
2024,37682.0354753818,40009.8234931148,31704.616448,38487.7432586275,35843.5807785246,11.5897033045652,10.9434676990083
2025,33153.6743472973,34603.7196988525,,,,10.5966924468587,10.98059109
