"year","pred"
1994,-0.070869530757375
1995,-0.0985505715047361
1996,-0.060121823636601
1997,-0.234135999362368
1998,0.898801687051777
1999,0.384439177998841
2000,-0.129453196932342
2001,-0.171094689392632
2002,-0.193228858085074
2003,-0.050191776825075
2004,-0.129327516116157
2005,-0.139432672010917
2006,0.0430897251604596
2007,-0.083868487751801
2008,-0.157589474679595
2009,-0.0647191643349607
2010,0.0697857355037435
2011,0.0196606448717904
2012,-0.104516152802422
2013,-0.207499745797422
2014,-0.217024360313983
