"","Yr","SpawnBio","exp_recr","with_regime","bias_adjusted","pred_recr","dev","biasadjuster","era","mature_bio","mature_num","raw_dev"
"3665",1889,14.7792,37117.1,37117.1,37117.1,37117.1,NA,NA,"Fixed",NA,NA,NA
"3666",1890,14.7792,37117.1,37117.1,37117.1,37117.1,NA,NA,"Fixed",NA,NA,NA
"3667",1891,14.7792,37117.1,37117.1,37117.1,37117.1,NA,NA,"Fixed",NA,NA,NA
"3668",1892,14.7791,37117.1,37117.1,37117.1,37117.1,NA,NA,"Fixed",NA,NA,NA
"3669",1893,14.7787,37117,37117,37117,37117,NA,NA,"Fixed",NA,NA,NA
"3670",1894,14.7784,37116.9,37116.9,37116.9,37116.9,NA,NA,"Fixed",NA,NA,NA
"3671",1895,14.7782,37116.9,37116.9,37116.9,37116.9,NA,NA,"Fixed",NA,NA,NA
"3672",1896,14.7782,37116.9,37116.9,37116.9,37116.9,NA,NA,"Fixed",NA,NA,NA
"3673",1897,14.7784,37116.9,37116.9,37116.9,37116.9,NA,NA,"Fixed",NA,NA,NA
"3674",1898,14.7787,37117,37117,37117,37117,NA,NA,"Fixed",NA,NA,NA
"3675",1899,14.7792,37117.1,37117.1,37117.1,37117.1,NA,NA,"Fixed",NA,NA,NA
"3676",1900,14.7798,37117.3,37117.3,37117.3,37117.3,NA,NA,"Fixed",NA,NA,NA
"3677",1901,14.7805,37117.5,37117.5,37117.5,37117.5,NA,NA,"Fixed",NA,NA,NA
"3678",1902,14.7813,37117.6,37117.6,37117.6,37117.6,NA,NA,"Fixed",NA,NA,NA
"3679",1903,14.782,37117.8,37117.8,37117.8,37117.8,NA,NA,"Fixed",NA,NA,NA
"3680",1904,14.7827,37118,37118,37118,37118,NA,NA,"Fixed",NA,NA,NA
"3681",1905,14.7833,37118.1,37118.1,37118.1,37118.1,NA,NA,"Fixed",NA,NA,NA
"3682",1906,14.7839,37118.3,37118.3,37118.3,37118.3,NA,NA,"Fixed",NA,NA,NA
"3683",1907,14.7844,37118.4,37118.4,37118.4,37118.4,NA,NA,"Fixed",NA,NA,NA
"3684",1908,14.7849,37118.5,37118.5,37118.5,37118.5,NA,NA,"Fixed",NA,NA,NA
"3685",1909,14.7853,37118.6,37118.6,37118.6,37118.6,NA,NA,"Fixed",NA,NA,NA
"3686",1910,14.7856,37118.7,37118.7,37118.7,37118.7,NA,NA,"Fixed",NA,NA,NA
"3687",1911,14.7859,37118.8,37118.8,37118.8,37118.8,NA,NA,"Fixed",NA,NA,NA
"3688",1912,14.7862,37118.8,37118.8,37118.8,37118.8,NA,NA,"Fixed",NA,NA,NA
"3689",1913,14.7864,37118.9,37118.9,37118.9,37118.9,NA,NA,"Fixed",NA,NA,NA
"3690",1914,14.7866,37118.9,37118.9,37118.9,37118.9,NA,NA,"Fixed",NA,NA,NA
"3691",1915,14.7868,37119,37119,37119,37119,NA,NA,"Fixed",NA,NA,NA
"3692",1916,14.7869,37119,37119,37119,37119,NA,NA,"Fixed",NA,NA,NA
"3693",1917,14.7867,37118.9,37118.9,37118.9,37118.9,NA,NA,"Fixed",NA,NA,NA
"3694",1918,14.786,37118.8,37118.8,37118.8,37118.8,NA,NA,"Fixed",NA,NA,NA
"3695",1919,14.7838,37118.3,37118.3,37118.3,37118.3,NA,NA,"Fixed",NA,NA,NA
"3696",1920,14.7835,37118.2,37118.2,37118.2,37118.2,NA,NA,"Fixed",NA,NA,NA
"3697",1921,14.7831,37118.1,37118.1,37118.1,37118.1,NA,NA,"Fixed",NA,NA,NA
"3698",1922,14.7825,37117.9,37117.9,37117.9,37117.9,NA,NA,"Fixed",NA,NA,NA
"3699",1923,14.7822,37117.9,37117.9,37117.9,37117.9,NA,NA,"Fixed",NA,NA,NA
"3700",1924,14.7823,37117.9,37117.9,37117.9,37117.9,NA,NA,"Fixed",NA,NA,NA
"3701",1925,14.7821,37117.8,37117.8,37117.8,37117.8,NA,NA,"Fixed",NA,NA,NA
"3702",1926,14.7804,37117.4,37117.4,37117.4,37117.4,NA,NA,"Fixed",NA,NA,NA
"3703",1927,14.7787,37117,37117,37117,37117,NA,NA,"Fixed",NA,NA,NA
"3704",1928,14.7753,37116.2,37116.2,37116.2,37116.2,NA,NA,"Fixed",NA,NA,NA
"3705",1929,14.7725,37115.5,37115.5,37115.5,37115.5,NA,NA,"Fixed",NA,NA,NA
"3706",1930,14.7687,37114.6,37114.6,37114.6,37114.6,NA,NA,"Fixed",NA,NA,NA
"3707",1931,14.7629,37113.1,37113.1,37113.1,37113.1,NA,NA,"Fixed",NA,NA,NA
"3708",1932,14.7562,37111.5,37111.5,37111.5,37266.2,0.00415936,0,"Early",41668.4,26978.9,0.00415936
"3709",1933,14.7529,37110.7,37110.7,37110.7,37272.3,0.00434337,0,"Early",41660.1,26975.1,0.00434337
"3710",1934,14.7505,37110.1,37110.1,37110.1,37275.5,0.00444632,0,"Early",41654.1,26972.6,0.00444632
"3711",1935,14.7486,37109.7,37109.7,37109.7,37274.7,0.00443726,0,"Early",41649.6,26971.2,0.00443726
"3712",1936,14.7439,37108.5,37108.5,37108.5,37268.5,0.00430315,0,"Early",41637.4,26965.4,0.00430315
"3713",1937,14.7396,37107.5,37107.5,37107.5,37258.9,0.0040738,0,"Early",41626.5,26960.7,0.0040738
"3714",1938,14.735,37106.3,37106.3,37106.3,37249.5,0.00385134,0,"Early",41615,26956.2,0.00385134
"3715",1939,14.7291,37104.9,37104.9,37104.9,37246,0.00379673,0,"Early",41600.3,26950.5,0.00379673
"3716",1940,14.7225,37103.3,37103.3,37103.3,37257.6,0.00415132,0,"Early",41584.4,26944.6,0.00415132
"3717",1941,14.7056,37099.1,37099.1,37099.1,37295.9,0.00529004,0,"Early",41540.7,26923.4,0.00529004
"3718",1942,14.6825,37093.4,37093.4,37093.4,37383.5,0.00778989,0,"Early",41481.1,26893.8,0.00778989
"3719",1943,14.6422,37083.5,37083.5,37083.5,37540.4,0.0122457,0,"Early",41375.1,26838,0.0122457
"3720",1944,14.4418,37033.3,37033.3,37033.3,37739,0.0188782,0,"Early",40833.5,26533.4,0.0188782
"3721",1945,14.0855,36940.8,36940.8,36940.8,37958.8,0.0271839,0,"Early",39871.6,25994.3,0.0271839
"3722",1946,13.4191,36756.3,36756.3,36756.3,38116.7,0.0363443,0,"Early",38072.2,24985.9,0.0363443
"3723",1947,13.0817,36656.4,36656.4,36656.4,38379.7,0.0459401,0,"Early",37186.2,24525.6,0.0459401
"3724",1948,12.9886,36628.1,36628.1,36628.1,38649.8,0.0537273,0,"Early",36975.1,24463.6,0.0537273
"3725",1949,12.9346,36611.5,36611.5,36611.5,38622.6,0.0534762,0,"Early",36870.2,24459.8,0.0534762
"3726",1950,12.9416,36613.7,36613.7,36613.7,38002.2,0.0372216,0,"Early",36929.5,24545.9,0.0372216
"3727",1951,12.927,36609.1,36609.1,36552,36580.6,0.000783873,0.0125057,"Early",36923.9,24586,0.000783873
"3728",1952,12.9154,36605.6,36605.6,36398.3,34644.1,-0.0493949,0.0454154,"Early",36922.6,24621.6,-0.0493949
"3729",1953,12.8613,36588.8,36588.8,36232.3,32844.5,-0.098165,0.0783251,"Early",36801.1,24579.6,-0.098165
"3730",1954,12.9266,36609,36609,36103.5,31700.4,-0.13006,0.111235,"Early",37005.8,24721.8,-0.13006
"3731",1955,12.9552,36617.8,36617.8,35964,31134.8,-0.14419,0.144144,"Early",37104.3,24788.3,-0.14419
"3732",1956,12.9901,36628.6,36628.6,35826.8,30237.3,-0.169621,0.177054,"Early",37214,24846.3,-0.169621
"3733",1957,12.9977,36630.9,36630.9,35682,28714.1,-0.217256,0.209964,"Early",37239.1,24834.6,-0.217256
"3734",1958,12.9985,36631.1,36631.1,35535.8,27803.2,-0.24539,0.242873,"Early",37233,24779.8,-0.24539
"3735",1959,12.9824,36626.2,36626.2,35385.1,29566.7,-0.179644,0.275783,"Early",37163.3,24659.5,-0.179644
"3736",1960,12.9422,36613.8,36613.8,35227.9,36728.7,0.0417181,0.308693,"Early",37007.4,24463,0.0417181
"3737",1961,12.8228,36576.7,36576.7,35047.8,47813.6,0.310598,0.341603,"Early",36614.4,24113.9,0.310598
"3738",1962,12.6863,36533.5,36533.5,34862.7,43386,0.218719,0.374512,"Main",36161.2,23737,0.218719
"3739",1963,12.4222,36447.6,36447.6,34637.9,30420,-0.129848,0.407422,"Main",35352.7,23165.6,-0.129848
"3740",1964,12.1945,36370.9,36370.9,34423.1,24748.3,-0.329971,0.440332,"Main",34653.6,22680.9,-0.329971
"3741",1965,11.9967,36302.2,36302.2,34217,24434.2,-0.336741,0.473241,"Main",34054.5,22288.7,-0.336741
"3742",1966,11.8004,36232,36232,34010.7,25479.9,-0.288786,0.506151,"Main",33486.9,21958.7,-0.288786
"3743",1967,11.2075,36007.1,36007.1,33660.8,27646.7,-0.196828,0.539061,"Main",31873.3,21076.7,-0.196828
"3744",1968,10.7683,35826.8,35826.8,33354.7,38099.7,0.133006,0.57197,"Main",30734.8,20528.4,0.133006
"3745",1969,10.4472,35686.7,35686.7,33087.9,31560.3,-0.0472663,0.60488,"Main",29963.2,20229.8,-0.0472663
"3746",1970,10.0896,35521.7,35521.7,32799.7,23665.9,-0.326385,0.63779,"Main",29101.7,19849.2,-0.326385
"3747",1971,10.045,35500.4,35500.4,32645.4,17760.9,-0.608708,0.670699,"Main",29070.8,19877.7,-0.608708
"3748",1972,10.1007,35526.9,35526.9,32535.8,23081,-0.343329,0.703609,"Main",29249,19923.5,-0.343329
"3749",1973,9.95597,35457.4,35457.4,32338.8,28675,-0.120242,0.736519,"Main",28798.7,19519.6,-0.120242
"3750",1974,9.66453,35312,35312,32073.9,54577,0.531569,0.769428,"Main",27908.3,18849.1,0.531569
"3751",1975,9.46279,35206.9,35206.9,31847.2,41578.4,0.266631,0.802338,"Main",27279.8,18406.1,0.266631
"3752",1976,9.39366,35170,35170,31802.1,35430.8,0.10805,0.8053,"Main",27049.5,18250.2,0.10805
"3753",1977,8.93601,34913.7,34913.7,31570.3,40208.4,0.241857,0.8053,"Main",25770.1,17508,0.241857
"3754",1978,8.25723,34490.3,34490.3,31187.4,28664.8,-0.0843437,0.8053,"Main",23896.4,16444.6,-0.0843437
"3755",1979,7.24228,33737.3,33737.3,30506.6,17158.3,-0.575459,0.8053,"Main",21101.5,14853.3,-0.575459
"3756",1980,6.42193,32991.3,32991.3,29832,21249.4,-0.339255,0.8053,"Main",18877.4,13653,-0.339255
"3757",1981,5.69115,32187.5,32187.5,29105.1,29418,0.0106909,0.8053,"Main",16962.8,12722.5,0.0106909
"3758",1982,4.83788,31021.9,31021.9,28051.1,16391.3,-0.537277,0.8053,"Main",14758.2,11660.8,-0.537277
"3759",1983,4.12142,29779.6,29779.6,26927.9,30064.7,0.110192,0.8053,"Main",12953.6,10791.3,0.110192
"3760",1984,3.58823,28637.1,28637.1,25894.7,42687.5,0.499868,0.8053,"Main",11583.8,10033.2,0.499868
"3761",1985,3.73895,28982.7,28982.7,26207.2,27705.7,0.0556017,0.8053,"Main",12110,10402.8,0.0556017
"3762",1986,4.10286,29743.3,29743.3,26895.1,31333.2,0.152735,0.8053,"Main",13177.5,11021.1,0.152735
"3763",1987,4.18577,29903.5,29903.5,27039.9,39248.5,0.372599,0.8053,"Main",13330.2,10944.5,0.372599
"3764",1988,4.1695,29872.5,29872.5,27011.8,23610.9,-0.134567,0.8053,"Main",13164,10678,-0.134567
"3765",1989,3.89922,29329.8,29329.8,26521.2,56550.6,0.757192,0.8053,"Main",12268.2,9986.35,0.757192
"3766",1990,3.77624,29065.3,29065.3,26281.9,56378.5,0.763206,0.8053,"Main",11874,9771.07,0.763206
"3767",1991,3.68688,28865.5,28865.5,26101.3,45276.6,0.550807,0.8053,"Main",11642.4,9761.12,0.550807
"3768",1992,3.69846,28891.7,28891.7,26125,29391.7,0.117818,0.8053,"Main",11758.2,10036.9,0.117818
"3769",1993,3.51731,28467.5,28467.5,25741.4,19196.2,-0.29339,0.8053,"Main",11330.3,9950.31,-0.29339
"3770",1994,3.51918,28472,28472,25745.5,34012.5,0.278469,0.8053,"Main",11433.9,10179.1,0.278469
"3771",1995,3.55089,28548.3,28548.3,25814.5,30463.3,0.165587,0.8053,"Main",11624.9,10464.4,0.165587
"3772",1996,3.67806,28845.4,28845.4,26083.1,19400.9,-0.29597,0.8053,"Main",12102.7,10932.6,-0.29597
"3773",1997,3.80362,29125.2,29125.2,26336.1,25909.6,-0.0163279,0.8053,"Main",12575.2,11357.8,-0.0163279
"3774",1998,4.42682,30344.6,30344.6,27438.8,45685.3,0.509821,0.8053,"Main",14533,12761.9,0.509821
"3775",1999,5.05365,31344.4,31344.4,28342.8,34795.7,0.205122,0.8053,"Main",16423.8,13985.3,0.205122
"3776",2000,5.60786,32085.7,32085.7,29013.1,58873.8,0.707648,0.8053,"Main",18001.4,14845.3,0.707648
"3777",2001,6.0982,32653.8,32653.8,29526.8,28175.9,-0.0468307,0.8053,"Main",19272.3,15392.8,-0.0468307
"3778",2002,6.63843,33202.4,33202.4,30022.9,16037.3,-0.627045,0.8053,"Main",20629.8,15955.2,-0.627045
"3779",2003,7.15247,33662.4,33662.4,30438.8,22655.1,-0.295332,0.8053,"Main",21896.8,16483.4,-0.295332
