"","Value","Parm_StDev","type","Yr"
"Main_RecrDev_1970",-0.326385,0,"Main_RecrDev",1970
"Main_RecrDev_1971",-0.608708,0,"Main_RecrDev",1971
"Main_RecrDev_1972",-0.343329,0,"Main_RecrDev",1972
"Main_RecrDev_1973",-0.120242,0,"Main_RecrDev",1973
"Main_RecrDev_1974",0.531569,0,"Main_RecrDev",1974
"Main_RecrDev_1975",0.266631,0,"Main_RecrDev",1975
"Main_RecrDev_1976",0.10805,0,"Main_RecrDev",1976
"Main_RecrDev_1977",0.241857,0,"Main_RecrDev",1977
"Main_RecrDev_1978",-0.0843437,0,"Main_RecrDev",1978
"Main_RecrDev_1979",-0.575459,0,"Main_RecrDev",1979
"Main_RecrDev_1980",-0.339255,0,"Main_RecrDev",1980
"Main_RecrDev_1981",0.0106909,0,"Main_RecrDev",1981
"Main_RecrDev_1982",-0.537277,0,"Main_RecrDev",1982
"Main_RecrDev_1983",0.110192,0,"Main_RecrDev",1983
"Main_RecrDev_1984",0.499868,0,"Main_RecrDev",1984
"Main_RecrDev_1985",0.0556017,0,"Main_RecrDev",1985
"Main_RecrDev_1986",0.152735,0,"Main_RecrDev",1986
"Main_RecrDev_1987",0.372599,0,"Main_RecrDev",1987
"Main_RecrDev_1988",-0.134567,0,"Main_RecrDev",1988
"Main_RecrDev_1989",0.757192,0,"Main_RecrDev",1989
"Main_RecrDev_1990",0.763206,0,"Main_RecrDev",1990
"Main_RecrDev_1991",0.550807,0,"Main_RecrDev",1991
"Main_RecrDev_1992",0.117818,0,"Main_RecrDev",1992
"Main_RecrDev_1993",-0.29339,0,"Main_RecrDev",1993
"Main_RecrDev_1994",0.278469,0,"Main_RecrDev",1994
"Main_RecrDev_1995",0.165587,0,"Main_RecrDev",1995
"Main_RecrDev_1996",-0.29597,0,"Main_RecrDev",1996
"Main_RecrDev_1997",-0.0163279,0,"Main_RecrDev",1997
"Main_RecrDev_1998",0.509821,0,"Main_RecrDev",1998
"Main_RecrDev_1999",0.205122,0,"Main_RecrDev",1999
"Main_RecrDev_2000",0.707648,0,"Main_RecrDev",2000
"Main_RecrDev_2001",-0.0468307,0,"Main_RecrDev",2001
"Main_RecrDev_2002",-0.627045,0,"Main_RecrDev",2002
"Main_RecrDev_2003",-0.295332,0,"Main_RecrDev",2003
"Main_RecrDev_2004",0.0874778,0,"Main_RecrDev",2004
"Main_RecrDev_2005",-0.628881,0,"Main_RecrDev",2005
"Main_RecrDev_2006",0.437996,0,"Main_RecrDev",2006
"Main_RecrDev_2007",-0.384673,0,"Main_RecrDev",2007
"Main_RecrDev_2008",0.800683,0,"Main_RecrDev",2008
"Main_RecrDev_2009",-0.634091,0,"Main_RecrDev",2009
"Main_RecrDev_2010",0.335224,0,"Main_RecrDev",2010
"Main_RecrDev_2011",-0.169749,0,"Main_RecrDev",2011
"Main_RecrDev_2012",0.0121801,0,"Main_RecrDev",2012
"Main_RecrDev_2013",0.120408,0,"Main_RecrDev",2013
"Main_RecrDev_2014",0.149653,0,"Main_RecrDev",2014
"Main_RecrDev_2015",-0.0316403,0,"Main_RecrDev",2015
"Main_RecrDev_2016",-0.0832557,0,"Main_RecrDev",2016
"Main_RecrDev_2017",-0.364285,0,"Main_RecrDev",2017
"Main_RecrDev_2018",-0.430334,0,"Main_RecrDev",2018
"Late_RecrDev_2019",-0.0111178,0,"Late_RecrDev",2019
"Late_RecrDev_2020",-0.187572,0,"Late_RecrDev",2020
"Late_RecrDev_2021",-0.141222,0,"Late_RecrDev",2021
"Late_RecrDev_2022",-0.056581,0,"Late_RecrDev",2022
"Late_RecrDev_2023",-0.0195338,0,"Late_RecrDev",2023
"Late_RecrDev_2024",0,0,"Late_RecrDev",2024
"ForeRecr_2025",0,0,"ForeRecr",2025
"ForeRecr_2026",0,0,"ForeRecr",2026
"ForeRecr_2027",0,0,"ForeRecr",2027
"ForeRecr_2028",0,0,"ForeRecr",2028
"ForeRecr_2029",0,0,"ForeRecr",2029
"ForeRecr_2030",0,0,"ForeRecr",2030
"ForeRecr_2031",0,0,"ForeRecr",2031
"ForeRecr_2032",0,0,"ForeRecr",2032
"ForeRecr_2033",0,0,"ForeRecr",2033
"ForeRecr_2034",0,0,"ForeRecr",2034
"ForeRecr_2035",0,0,"ForeRecr",2035
"ForeRecr_2036",0,0,"ForeRecr",2036
