date,mld
1993-01-01,24.0252489340656
1993-01-02,25.4919326656005
1993-01-03,25.5906690245166
1993-01-04,26.1956536236931
1993-01-05,24.5979198157787
1993-01-06,25.1795667301206
1993-01-07,25.1041680560393
1993-01-08,23.8780419989544
1993-01-09,23.3987218565801
1993-01-10,23.9893448035507
1993-01-11,24.3106867716593
1993-01-12,26.1310261887663
1993-01-13,26.3841503088965
1993-01-14,23.6320987049271
1993-01-15,23.9893448035507
1993-01-16,22.5675412351594
1993-01-17,22.1295108428773
1993-01-18,21.4904173197115
1993-01-19,21.3503912107033
1993-01-20,26.0861460256226
1993-01-21,28.8543544883237
1993-01-22,29.5257617289529
1993-01-23,28.1991041064262
1993-01-24,29.5939795769313
1993-01-25,24.8761768272694
1993-01-26,19.2248666842194
1993-01-27,23.1132840189864
1993-01-28,25.098782436462
1993-01-29,22.3575020716471
1993-01-30,19.9878294576617
1993-01-31,20.7974676007734
1993-02-01,22.6106261917773
1993-02-02,24.851043935909
1993-02-03,26.6390696355525
1993-02-04,29.4306157830884
1993-02-05,30.4305458179292
1993-02-06,26.5313572440077
1993-02-07,24.6158718810362
1993-02-08,20.6305133938789
1993-02-09,24.1616846300223
1993-02-10,28.3032260849195
1993-02-11,27.2889343978728
1993-02-12,20.495872904448
1993-02-13,18.3039257365115
1993-02-14,20.8243956986596
1993-02-15,23.052246997111
1993-02-16,25.1993140019038
1993-02-17,27.1614747345448
1993-02-18,25.7091526552158
1993-02-19,22.910425681577
1993-02-20,22.8296413879184
1993-02-21,27.7126031379489
1993-02-22,26.7952526032925
1993-02-23,24.6840897290146
1993-02-24,24.2227216518977
1993-02-25,19.9034547509516
1993-02-26,20.481511252242
1993-02-27,19.8316464899217
1993-02-28,16.0706888184828
1993-03-01,17.9466796378879
1993-03-02,15.4136432300596
1993-03-03,22.0900162993109
1993-03-04,26.6085511246148
1993-03-05,23.8690659663257
1993-03-06,14.1929027925519
1993-03-07,11.6311430803117
1993-03-08,12.3528161036618
1993-03-09,13.9631163572564
1993-03-10,13.3329988667194
1993-03-11,11.9847987658837
1993-03-12,12.9129205396947
1993-03-13,12.9326678114779
1993-03-14,11.1518229379373
1993-03-15,13.7028114110231
1993-03-16,12.2468989186427
1993-03-17,14.1300705641508
1993-03-18,12.9129205396947
1993-03-19,11.1356660792056
1993-03-20,13.0421754095484
1993-03-21,12.3959010602797
1993-03-22,12.2056091685505
1993-03-23,12.6723628652446
1993-03-24,11.5826725041165
1993-03-25,11.8034829067833
1993-03-26,12.9452342571581
1993-03-27,12.4407812234233
1993-03-28,11.9435090157916
1993-03-29,11.7370602653307
1993-03-30,11.1554133509888
1993-03-31,10.948964600528
1993-04-01,15.7026714807048
1993-04-02,15.2538698492681
1993-04-03,11.983003559358
1993-04-04,11.2361976446474
1993-04-05,11.9955700050382
1993-04-06,13.9631163572564
1993-04-07,12.8195698003559
1993-04-08,15.0133121748181
1993-04-09,18.3559867257581
1993-04-10,19.6593066634501
1993-04-11,18.5157601065495
1993-04-12,15.2448938166394
1993-04-13,13.9828636290396
1993-04-14,11.4767553190975
1993-04-15,14.3939659234355
1993-04-16,15.0169025878696
1993-04-17,16.0006757639787
1993-04-18,15.070758783642
1993-04-19,10.7425158500671
1993-04-20,10.8376617959317
1993-04-21,13.1211644966813
1993-04-22,15.0599875444875
1993-04-23,15.708057100282
1993-04-24,16.6649021785049
1993-04-25,17.9377036052592
1993-04-26,19.7436813701602
1993-04-27,14.1121184988933
1993-04-28,11.0854002964847
1993-04-29,11.8734959612874
1993-04-30,11.0333393072381
1993-05-01,10.7281541978612
1993-05-02,11.196703101081
1993-05-03,10.6958404803977
1993-05-04,11.5413827540243
1993-05-05,10.5342718930805
1993-05-06,11.0889907095362
1993-05-07,11.0584721985985
1993-05-08,11.9129905048539
1993-05-09,10.694045273872
1993-05-10,10.3583416535574
1993-05-11,10.3978361971238
1993-05-12,10.3493656209287
1993-05-13,10.3493656209287
1993-05-14,10.4086074362783
1993-05-15,10.5037533821429
1993-05-16,10.3529560339801
1993-05-17,10.3493656209287
1993-05-18,10.3547512405059
1993-05-19,10.4588732189992
1993-05-20,10.6383938715738
1993-05-21,11.4462368081598
1993-05-22,10.7856008066851
1993-05-23,10.4229690884843
1993-05-24,10.3565464470316
1993-05-25,10.3529560339801
1993-05-26,10.3529560339801
1993-05-27,10.3529560339801
1993-05-28,10.3529560339801
1993-05-29,10.3852697514436
1993-05-30,10.4445115667932
1993-05-31,10.431945121113
1993-06-01,10.9256269156933
1993-06-02,11.2020887206582
1993-06-03,10.3583416535574
1993-06-04,10.431945121113
1993-06-05,10.3655224796604
1993-06-06,10.4750300777309
1993-06-07,10.5827424692757
1993-06-08,10.566585610544
1993-06-09,10.7658535349018
1993-06-10,11.2146551663385
1993-06-11,11.2667161555851
1993-06-12,11.2864634273683
1993-06-13,10.6850692412433
1993-06-14,10.3655224796604
1993-06-15,10.5953089149559
1993-06-16,10.5755616431727
1993-06-17,10.5647904040182
1993-06-18,10.58094726275
1993-06-19,10.5881280888529
1993-06-20,10.6078753606362
1993-06-21,10.4678492516279
1993-06-22,10.4014266101753
1993-06-23,10.3709080992376
1993-06-24,10.3924505775466
1993-06-25,10.3960409905981
1993-06-26,10.3762937188149
1993-06-27,10.3691128927119
1993-06-28,10.4014266101753
1993-06-29,10.4355355341645
1993-06-30,10.3978361971238
1993-07-01,10.3942457840723
1993-07-02,10.4050170232268
1993-07-03,10.4337403276387
1993-07-04,10.4086074362783
1993-07-05,10.5791520562242
1993-07-06,10.8861323721269
