year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1994,-0.272326659926073,-0.721628208110591,0.029960675453234,0.540595526398567,-0.148997166891612,-0.242637679471377,0.0359612904498065,-0.35577966823415,-0.0296121765955409,-0.707810646427201,-0.406584029238011,0.523585890431005,0.335375239937414,-0.536897756079653,-0.584501574510308,-0.89804708469504,-0.584501574510308,-0.89804708469504,0.204169324801434,0.265989484502668,0.823329618813631,0.221401400632345,0.049963683465217,0.47214467500406,,,,,-1.63047892916822,0.376505212037417,-0.726023228328314,-1.63047892916822,-1.28757389932383,-1.63047892916822,0.395806568920116,,,0.0392329308954128
1995,0.222951019424567,-0.804097667415894,0.89951165712691,0.557581644998933,0.317400900162026,0.948017899751389,0.694544214383056,0.204105669782005,-0.179440649513062,-0.404260368144147,-0.511253721272041,1.56678322400214,0.810054414238944,-0.654870307801718,-0.857795553943507,-0.511833554225815,-0.857795553943507,-0.511833554225815,0.817799365565991,0.859821003838864,-0.0811776248977988,0.439275318780388,1.28092013181426,0.0738631240037024,,,,,-1.49460568507087,0.0702118605676786,-1.09933164277188,-1.49460568507087,-1.14306343254674,-1.49460568507087,0.193589316406433,,,-0.778119796092353
1996,0.631258369066539,0.167340220325233,0.689426795158924,0.290495768652489,-0.784354228534576,0.256214150101536,0.990955054494111,0.239304406183432,-0.14128169576475,0.851637262851553,1.2724310932582,1.08004117729601,-0.417808532031921,-0.588377643987704,-1.12635033142122,-0.300039037516885,-1.12635033142122,-0.300039037516885,-0.730885975411225,-0.662974674458905,-0.544832598565002,0.797211041452174,1.0746272463635,-1.08477411527007,-0.803646917721273,0.576458844425679,0.156761611784682,-0.012553119649918,-1.35873244097351,1.41319040162731,-0.333353027579792,-1.35873244097351,-1.21780067007905,-1.35873244097351,1.40689283148853,,,1.5104678394734
1997,-0.572398538261288,-0.778365327507425,-0.346119636674771,1.51030203608942,2.81491078820601,-0.535900374912963,-0.341208748217083,-0.604251542888101,-0.879402659887299,-1.23390094531317,1.29172229274808,0.0272902805931083,-1.497711967939,1.67278152929715,0.052131221510379,-1.33696965778413,0.052131221510379,-1.33696965778413,-0.317124005067123,-0.145576915037269,2.24469814464588,0.392588050605807,2.11742644754316,-2.06237428590731,-0.497293167184149,-2.03949756055158,-0.0677025023896993,1.1905675574522,-1.22285919687616,0.612115482398754,-2.35036652775207,-1.22285919687616,-1.72482828921715,-1.22285919687616,0.314919667914644,,,0.63862493068644
1998,2.87312690643907,2.11102562788057,2.16996056137439,1.95769535407338,0.250604520145142,2.90969445029537,2.14346858490352,3.94449652528165,3.53539041872784,0.0401048527872643,-1.59910784370136,-0.656393430284581,1.72814230217778,1.31159339353377,-1.4043835128099,-1.13667529582863,-1.4043835128099,-1.13667529582863,2.20869412463232,2.10627924244553,-0.164787538182049,1.83989336401781,0.086234960027988,1.01525588091364,-1.82734492784248,-0.233051931661635,1.65756316875272,0.871199169310206,-1.08698595277881,-0.412789193673062,-0.19902034252353,-1.08698595277881,-1.08283226162117,-1.08698595277881,-0.359137840464302,-1.90680755111181,-1.99134660437271,-1.70445288667849
1999,0.0754897476195317,0.306662091793841,-0.855278659980874,-0.99497964958106,-0.448829162040551,0.553480016128205,-0.92270726252859,1.06336330149368,2.19400451572078,0.988878200484726,0.94177535476075,0.902773729235391,1.48372285722583,-1.61322517107679,1.36804963115115,1.25823193157234,1.36804963115115,1.25823193157234,-1.28607505991249,-1.26856523378196,-1.93579751956661,-0.800531024966811,-1.58677767142982,1.52215967309591,0.0403870700738018,0.709322194071769,-0.809941573089285,-1.56265006420935,-0.951112708681461,0.14089494167608,0.333111181694963,-0.951112708681461,0.430634016979328,-0.951112708681461,0.274476217411907,-1.39050265852705,-1.02318150502389,-1.37751179588338
2000,-0.28309828605903,-0.0552432841563955,0.0332497303216895,-0.0952840134584789,-0.849384701123788,-0.501849432054527,-0.127603254257487,-0.598510315004808,-0.229452789651664,-1.21746062210428,-0.350146542915002,1.29713436093398,0.255706844710439,-0.669523925503286,0.232220895818961,0.159008806390704,0.232220895818961,0.159008806390704,-1.32698372929679,-1.33323995370966,-1.16430604698922,-0.727906385584129,-0.741203536560225,-0.433040668178571,0.21273154981643,1.1616619564419,-1.0798901362044,-0.891757953756081,-0.815239464584109,-0.942912301986072,-0.316273250110292,-0.815239464584109,-0.63478201984215,-0.815239464584109,-0.965789598005352,-0.770001650145812,-0.704885422558762,1.07454638507992
2001,-0.64826736272762,-0.853754949697255,-0.515152288457015,-0.810492298128581,-0.629968350172691,-0.470465748904737,-0.494302864117073,-0.30485998391913,-0.596173822695109,0.128501367643379,-1.36181673261836,0.0151847513202299,-0.568469218584662,-0.321543684941331,0.527631151044441,1.1949810804285,0.527631151044441,1.1949810804285,-0.566082478748744,-0.439552914708653,-0.290202408108423,0.112464441558323,-1.00190333685514,0.39972984754945,0.464500534296506,1.25764484484857,-0.997418644485571,-1.03561198537386,-0.679366220486758,-1.54371849140749,1.03037074731624,-0.679366220486758,1.11168104691864,-0.679366220486758,-1.65332825655187,-0.826885139240217,-0.6488876310674,0.311683839891334
2002,-0.765329658916858,-0.382802170448131,-1.08299910495503,-1.44511439805558,-0.575900694528602,-0.617673741335341,-0.930368883892035,-0.460277727246987,-0.889800193450043,0.0336716805508024,-0.487890668966925,0.247846126901797,-0.860636123135279,-1.63911740193672,1.19427889278323,1.16623069354494,1.19427889278323,1.16623069354494,-0.09972364776768,0.195435244581536,1.17297107436595,-0.79015607648357,-0.471435917124616,1.23250036327747,0.80011784151637,1.25419072902997,-0.906878542182426,-0.527643332677316,-0.543492976389406,-1.22564462641967,1.52377869892481,-0.543492976389406,1.71506532504106,-0.543492976389406,-0.871421546832301,2.10868120039575,2.14546185602928,-0.451178705297247
2003,-0.193275851928218,0.31437337205669,0.720901471477983,0.180716620712598,-0.263327540577655,-1.96004810740781,0.908536726740414,-0.0739778442124019,-0.0897099229475963,-0.508382394694433,0.43434651326005,-0.767729235842075,-0.639840528600531,0.316539793391322,-1.22271410451616,-0.397790352921007,-1.22271410451616,-0.397790352921007,1.02584916986331,0.718712523996599,-0.00516861282120812,1.43008289892982,0.62123628932886,-0.36062584072396,0.146505807900432,-0.281820171568843,0.429992851878669,-0.289777973567152,-0.407619732292055,0.718140104061356,0.491204989677114,-0.407619732292055,-0.757137851107448,-0.407619732292055,0.935052575623273,0.558476256470967,0.856931674260881,0.148213294493781
