"","year","fit","se.fit","type"
"1",1994,-0.174461284178797,0.142027592874568,"Train"
"2",1995,0.141117041549171,0.141596601510894,"Train"
"3",1996,-0.606494789951804,0.188977084139251,"Train"
"4",1997,-0.117841402472192,0.227000438448057,"Train"
"5",1998,0.34239695769329,0.220605985482259,"Train"
"6",1999,0.365056727411454,0.21488314622268,"Train"
"7",2000,0.276474982024348,0.125852761432077,"Train"
"8",2001,0.029891770043292,0.149888471818308,"Train"
"9",2002,-0.725785522789036,0.231383377616821,"Train"
"10",2003,-0.211949355594868,0.135120553592077,"Train"
"11",2004,-0.155269798071298,0.138481119341303,"Train"
"12",2005,-0.539428471914277,0.196129603137244,"Train"
"13",2006,0.131896706836607,0.154136143660772,"Train"
"14",2007,0.104482806609696,0.1116083736699,"Train"
"15",2008,0.547387453799463,0.182636201234098,"Train"
"16",2009,-0.224784768216729,0.184646875081126,"Train"
"17",2010,0.220729967268635,0.119996192236065,"Train"
"18",2011,0.197883844703712,0.117549303447025,"Train"
"19",2012,-0.0292562422623138,0.142095728610634,"Train"
"20",2013,-0.0164839978983707,0.202958193806801,"Train"
"21",2014,0.259951588920635,0.201534409184141,"Train"
"22",2015,-0.235619643072121,0.255313948971522,"Train"
"23",2016,-0.20645306955561,0.142246714445048,"Train"
"24",2017,-0.677009563506642,0.213293475733274,"Train"
"25",2018,-0.180196555725806,0.128272156280667,"Train"
"26",2019,-0.425253781650445,0.302393444887339,"Train"
"27",2020,-0.188816517330314,0.313158587643681,"Predictions"
"28",2021,0.0976731627183715,0.36833374420501,"Predictions"
"29",2022,-0.781472304735657,0.572155542163836,"Predictions"
"30",2023,-0.395648920653436,0.435400480365838,"Predictions"
"31",2024,-0.491982065109886,0.267511689059227,"Predictions"
