"","rankmod","var1","var2","var3","var4","AIC","deltaAIC","RMSE","mape","rsq_full","dev.ex_full"
"1",1,"CutiSTIpjuv","DDegg","LSTpjuv","ONIpjuv",22.2297057650851,0,0.593,95.7712661629147,0.53,0.6573
"2",2,"CutiSTIpjuv","LSTpjuv","ONIpjuv",NA,26.7011194048926,4.47141363980746,0.709,83.1632683408494,0.43,0.5443
"3",3,"CutiSTIpjuv","CutiTUMIpjuv","DDegg","ONIpjuv",27.6827562177407,5.45305045265555,0.415,100.815585712354,0.42,0.5684
"4",4,"CutiSTIpjuv","DDpre","LSTpjuv","ONIpjuv",28.3337923696041,6.104086604519,0.712,82.3701700999082,0.41,0.5494
"5",5,"CutiSTIpjuv","DDegg","ONIpjuv",NA,28.4242561443682,6.19455037928308,0.435,107.949604244027,0.39,0.5045
