bottom_depth,lon,lat
4670.60302734375,-130,31
4705.35400390625,-129.91667175293,31
4702.759765625,-129.83332824707,31
4651.4677734375,-129.75,31
4596.81494140625,-129.66667175293,31
4596.1669921875,-129.58332824707,31
4658.2099609375,-129.5,31
4551.47314453125,-129.41667175293,31
4556.48095703125,-129.33332824707,31
4492.59619140625,-129.25,31
4488.14501953125,-129.16667175293,31
4502.744140625,-129.08332824707,31
4466.81982421875,-129,31
4502.44921875,-128.91667175293,31
4548.06005859375,-128.83332824707,31
4545.0439453125,-128.75,31
4493.0419921875,-128.66667175293,31
4552.85791015625,-128.58332824707,31
4475.48876953125,-128.5,31
4490.96484375,-128.41667175293,31
4559.6708984375,-128.33332824707,31
4548.53076171875,-128.25,31
4436.783203125,-128.16667175293,31
4466.22607421875,-128.08332824707,31
4401.13818359375,-128,31
3924.46606445313,-127.916664123535,31
3890.34204101563,-127.833335876465,31
4219.9658203125,-127.75,31
4207.38916015625,-127.666664123535,31
4184.34912109375,-127.583335876465,31
4192.5029296875,-127.5,31
4165.8720703125,-127.416664123535,31
4157.5048828125,-127.333335876465,31
4310.5322265625,-127.25,31
3915.68310546875,-127.166664123535,31
4129.43798828125,-127.083335876465,31
4300.826171875,-127,31
4270.255859375,-126.916664123535,31
4128.4638671875,-126.833335876465,31
3791.5439453125,-126.75,31
3776.47802734375,-126.666664123535,31
4258.833984375,-126.583335876465,31
4404.7861328125,-126.5,31
4419.02099609375,-126.416664123535,31
4370.296875,-126.333335876465,31
4426.60107421875,-126.25,31
4506.88623046875,-126.166664123535,31
4581.57421875,-126.083335876465,31
4455.59912109375,-126,31
4225.80810546875,-125.916664123535,31
4254.26513671875,-125.833335876465,31
4311.52978515625,-125.75,31
4259.11376953125,-125.666664123535,31
4191.01806640625,-125.583335876465,31
4150.01220703125,-125.5,31
4009.47412109375,-125.416664123535,31
4062.70190429688,-125.333335876465,31
4132.84716796875,-125.25,31
4171.7841796875,-125.166664123535,31
4170.13623046875,-125.083335876465,31
4124.0029296875,-125,31
4134.087890625,-124.916664123535,31
4185.6201171875,-124.833335876465,31
4236.8359375,-124.75,31
4295.7900390625,-124.666664123535,31
4328.15380859375,-124.583335876465,31
4246.8291015625,-124.5,31
4172.30810546875,-124.416664123535,31
4156.2431640625,-124.333335876465,31
4126.162109375,-124.25,31
4154.6630859375,-124.166664123535,31
4113.60888671875,-124.083335876465,31
4170.35986328125,-124,31
4122.96484375,-123.916664123535,31
4104.498046875,-123.833335876465,31
4014.74389648438,-123.75,31
4069.51098632813,-123.666664123535,31
4075.88696289062,-123.583335876465,31
4085.61889648438,-123.5,31
4037.1298828125,-123.416664123535,31
3982.10595703125,-123.333335876465,31
4034.40209960938,-123.25,31
4070.55200195313,-123.166664123535,31
4127.8310546875,-123.083335876465,31
4033.35205078125,-123,31
4072.72290039063,-122.916664123535,31
3955.47998046875,-122.833335876465,31
4018.30493164062,-122.75,31
4193.6630859375,-122.666664123535,31
4147.9248046875,-122.583335876465,31
4093.61401367188,-122.5,31
4048.2509765625,-122.416664123535,31
4062.71997070313,-122.333335876465,31
4094.36791992188,-122.25,31
4118.02978515625,-122.166664123535,31
4137.72509765625,-122.083335876465,31
4134.27001953125,-122,31
4080.82788085938,-121.916664123535,31
4088.68310546875,-121.833335876465,31
4093.34594726563,-121.75,31
4118.70703125,-121.666664123535,31
4081.19091796875,-121.583335876465,31
4071.96508789063,-121.5,31
3969.33911132813,-121.416664123535,31
3899.80297851563,-121.333335876465,31
3884.14208984375,-121.25,31
4031.81103515625,-121.166664123535,31
3970.97900390625,-121.083335876465,31
3984.02392578125,-121,31
3926.65307617188,-120.916664123535,31
3911.61499023438,-120.833335876465,31
3810.75390625,-120.75,31
3802.90307617188,-120.666664123535,31
3832.419921875,-120.583335876465,31
3855.97802734375,-120.5,31
3870.50708007813,-120.416664123535,31
3902.7041015625,-120.333335876465,31
3932.69702148438,-120.25,31
3880.61010742188,-120.166664123535,31
3676.67993164063,-120.083335876465,31
3589.13598632813,-120,31
3675.92700195313,-119.916664123535,31
3694.72509765625,-119.833335876465,31
3607.2080078125,-119.75,31
3346.1240234375,-119.666664123535,31
3426.6259765625,-119.583335876465,31
3496.92602539063,-119.5,31
3644.85205078125,-119.416664123535,31
3680.68603515625,-119.333335876465,31
3675.85791015625,-119.25,31
3641.56396484375,-119.166664123535,31
3634.96899414063,-119.083335876465,31
3652.60302734375,-119,31
3334.48608398438,-118.916664123535,31
3018.2119140625,-118.833335876465,31
2797.30493164063,-118.75,31
2381.26904296875,-118.666664123535,31
1940.78002929688,-118.583335876465,31
1748.97802734375,-118.5,31
1694.47900390625,-118.416664123535,31
1736.42797851563,-118.333335876465,31
1762.32104492188,-118.25,31
1670.88598632813,-118.166664123535,31
1669.39196777344,-118.083335876465,31
1703.4169921875,-118,31
1800.96997070313,-117.916664123535,31
1799.31896972656,-117.833335876465,31
1713.22802734375,-117.75,31
1598.51794433594,-117.666664123535,31
1672.99304199219,-117.583335876465,31
1750.8330078125,-117.5,31
1785.60205078125,-117.416664123535,31
1831.90905761719,-117.333335876465,31
1944.90405273438,-117.25,31
1923.57397460938,-117.166664123535,31
2035.43103027344,-117.083335876465,31
2184.72802734375,-117,31
1907.09497070313,-116.916664123535,31
1914.751953125,-116.833335876465,31
1658.31005859375,-116.75,31
1415.38696289063,-116.666664123535,31
1173.72302246094,-116.583335876465,31
156.533294677734,-116.5,31
71.5993881225586,-116.416664123535,31
22.6605091094971,-116.333335876465,31
4619.2861328125,-130,31.0833339691162
4739.55810546875,-129.91667175293,31.0833339691162
4765.54296875,-129.83332824707,31.0833339691162
4739.89990234375,-129.75,31.0833339691162
4522.412109375,-129.66667175293,31.0833339691162
4391.84912109375,-129.58332824707,31.0833339691162
4649.125,-129.5,31.0833339691162
4492.84716796875,-129.41667175293,31.0833339691162
4370.52099609375,-129.33332824707,31.0833339691162
4458.77880859375,-129.25,31.0833339691162
4482.548828125,-129.16667175293,31.0833339691162
4496.73876953125,-129.08332824707,31.0833339691162
4491.5478515625,-129,31.0833339691162
4455.4677734375,-128.91667175293,31.0833339691162
4508.1572265625,-128.83332824707,31.0833339691162
4504.72509765625,-128.75,31.0833339691162
4470.77978515625,-128.66667175293,31.0833339691162
4456.10205078125,-128.58332824707,31.0833339691162
4386.85791015625,-128.5,31.0833339691162
4398.0478515625,-128.41667175293,31.0833339691162
4476.73779296875,-128.33332824707,31.0833339691162
4460.94482421875,-128.25,31.0833339691162
4349.89013671875,-128.16667175293,31.0833339691162
4294.94189453125,-128.08332824707,31.0833339691162
4331.47509765625,-128,31.0833339691162
4363.64990234375,-127.916664123535,31.0833339691162
4280.03515625,-127.833335876465,31.0833339691162
4312.9267578125,-127.75,31.0833339691162
4313.77490234375,-127.666664123535,31.0833339691162
3910.52099609375,-127.583335876465,31.0833339691162
4142.2119140625,-127.5,31.0833339691162
4156.4541015625,-127.416664123535,31.0833339691162
4216.494140625,-127.333335876465,31.0833339691162
4353.5400390625,-127.25,31.0833339691162
4187.4580078125,-127.166664123535,31.0833339691162
4116.22314453125,-127.083335876465,31.0833339691162
4042.03588867188,-127,31.0833339691162
4164.091796875,-126.916664123535,31.0833339691162
4327.18115234375,-126.833335876465,31.0833339691162
4296.5791015625,-126.75,31.0833339691162
4287.97412109375,-126.666664123535,31.0833339691162
4393.10791015625,-126.583335876465,31.0833339691162
4492.77783203125,-126.5,31.0833339691162
4590.81982421875,-126.416664123535,31.0833339691162
4551.8759765625,-126.333335876465,31.0833339691162
4440.962890625,-126.25,31.0833339691162
4235.80615234375,-126.166664123535,31.0833339691162
4351.52978515625,-126.083335876465,31.0833339691162
4467.5869140625,-126,31.0833339691162
4228.02783203125,-125.916664123535,31.0833339691162
4227.5,-125.833335876465,31.0833339691162
4303.48779296875,-125.75,31.0833339691162
4356.89794921875,-125.666664123535,31.0833339691162
4275.1181640625,-125.583335876465,31.0833339691162
4174.3828125,-125.5,31.0833339691162
4033.56591796875,-125.416664123535,31.0833339691162
4144.69482421875,-125.333335876465,31.0833339691162
4208.37890625,-125.25,31.0833339691162
4042.69409179688,-125.166664123535,31.0833339691162
4192.1337890625,-125.083335876465,31.0833339691162
4276.60107421875,-125,31.0833339691162
4265.11279296875,-124.916664123535,31.0833339691162
4222.93212890625,-124.833335876465,31.0833339691162
4262.0380859375,-124.75,31.0833339691162
4247.10302734375,-124.666664123535,31.0833339691162
3989.36499023438,-124.583335876465,31.0833339691162
