time,sti
UTC,yearday
1967-01-01T00:00:00Z,84.0
1968-01-01T00:00:00Z,88.0
1969-01-01T00:00:00Z,116.0
1970-01-01T00:00:00Z,75.0
1971-01-01T00:00:00Z,103.0
1972-01-01T00:00:00Z,103.0
1973-01-01T00:00:00Z,80.0
1974-01-01T00:00:00Z,101.0
1975-01-01T00:00:00Z,82.0
1976-01-01T00:00:00Z,101.0
1977-01-01T00:00:00Z,74.0
1978-01-01T00:00:00Z,96.0
1979-01-01T00:00:00Z,128.0
1980-01-01T00:00:00Z,110.0
1981-01-01T00:00:00Z,174.0
1982-01-01T00:00:00Z,107.0
1983-01-01T00:00:00Z,128.0
1984-01-01T00:00:00Z,147.0
1985-01-01T00:00:00Z,124.0
1986-01-01T00:00:00Z,148.0
1987-01-01T00:00:00Z,106.0
1988-01-01T00:00:00Z,155.0
1989-01-01T00:00:00Z,96.0
1990-01-01T00:00:00Z,82.0
1991-01-01T00:00:00Z,99.0
1992-01-01T00:00:00Z,120.0
1993-01-01T00:00:00Z,166.0
1994-01-01T00:00:00Z,115.0
1995-01-01T00:00:00Z,100.0
1996-01-01T00:00:00Z,142.0
1997-01-01T00:00:00Z,126.0
1998-01-01T00:00:00Z,83.0
1999-01-01T00:00:00Z,89.0
2000-01-01T00:00:00Z,134.0
2001-01-01T00:00:00Z,120.0
2002-01-01T00:00:00Z,106.0
2003-01-01T00:00:00Z,117.0
2004-01-01T00:00:00Z,112.0
2005-01-01T00:00:00Z,142.0
2006-01-01T00:00:00Z,109.0
2007-01-01T00:00:00Z,117.0
2008-01-01T00:00:00Z,88.0
2009-01-01T00:00:00Z,83.0
2010-01-01T00:00:00Z,154.0
2011-01-01T00:00:00Z,118.0
2012-01-01T00:00:00Z,124.0
2013-01-01T00:00:00Z,100.0
2014-01-01T00:00:00Z,130.0
2015-01-01T00:00:00Z,103.0
2016-01-01T00:00:00Z,114.0
2017-01-01T00:00:00Z,123.0
2018-01-01T00:00:00Z,108.0
2019-01-01T00:00:00Z,108.0
2020-01-01T00:00:00Z,138.0
2021-01-01T00:00:00Z,81.0
2022-01-01T00:00:00Z,162.0
2023-01-01T00:00:00Z,114.0
