,year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,HCIlarv,HCIpjuv,ONIpre,ONIlarv,ONIpjuv,PDOlarv,PDOpjuv,CutiSTIpjuv,CutiTUMIpjuv,BeutiTUMIpjuv,BeutiSTIpjuv,ZOOpjuv,ZOOben,Y_rec,sd,bakun_sti,Type
17,2009,29920.27246,31043.54918,23992.17348,36088.97366,37006.04828,10.45179994,8.885978974,12.79622109,11.71460966,10.95815823,0.01682921,0.009705049,-0.025799337,-0.106311274,1,0.634851936,-0.524444444,-0.7,0.198,-1.365,-0.542,-1.763429392,-0.234654694,1.10278119,-1.837295339,0.302430334,-0.038995657,-0.652778,0.299974,-1.324402861,Main
18,2010,33602.90691,32798.49262,32298.94068,38629.06858,36684.45226,10.78022181,10.45402446,16.2051497,12.958354,11.52223388,0.015581852,0.011625818,-0.003980801,-0.125645318,0.170842825,0.795216401,1.025555556,1.03,-0.576,0.84,-0.292,0.301265665,-0.966132337,0.144744764,0.454945987,-0.059566029,0.314839048,0.58914,0.142581,0.426888586,Main
19,2011,31515.81787,34225.66015,24896.34764,36888.59289,35536.59321,10.41633152,9.372672812,14.61347035,12.32178489,11.00847842,0.019975542,0.010299151,-0.019681588,-0.124974182,0.836560364,0.583826879,-1.374444444,-1.06,-0.564,-0.845,-1.134,0.135648415,-1.111898374,0.386105515,0.271076362,0.46252415,0.276985177,-0.315848,0.273525,0.426888586,Main
20,2012,30198.36878,29778.91212,22444.94271,37789.06005,36486.63102,10.78777524,8.946484264,13.63555823,11.65403272,10.99215836,0.012809737,0.00724145,-0.016805924,-0.104079785,1,0.593394077,-0.804444444,-0.655,-0.024,-0.945,-1.176,1.041022718,-0.490056724,0.354197374,1.276230312,0.350314609,-0.065246867,0.17152,0.213521,0.303268013,Main
21,2013,31546.93697,37471.73207,23382.56906,37210.43279,36154.59469,10.1308136,9.143897686,13.23447565,11.17337895,10.95500302,0.019853448,0.008056778,-0.083589085,-0.099125108,0.930523918,0.387015945,-0.011111111,-0.385,-0.358,-0.77,-0.71,-1.553647541,0.109359382,0.225023835,-1.604393814,0.421618971,0.049791117,0.0159062,0.256361,-0.623886282,Main
22,2014,31463.51486,27352.85525,26796.62364,40167.34547,45694.99263,11.3109031,9.505721099,11.98117068,11.09606027,10.83679139,0.014852685,-0.001511887,-0.00463733,-0.089673124,0.63952164,0.159908884,-0.305555556,-0.365,0.106,0.225,0.59,0.820199717,-0.041234376,-0.53057341,0.614299662,0.298798057,-0.493595502,0.204692,0.234496,0.797750304,Main
23,2015,40370.60122,45986.13658,36565.02522,42309.3008,43221.87369,11.63809594,11.39814021,13.36496806,11.57096307,10.86910511,0.016043923,0.000828322,-0.046509336,-0.101282424,0,0.193621868,0.41,0.5,1.238,1.695,1.172,0.544170966,0.507750211,0.631796811,0.087206736,-0.332056332,-0.98142484,-0.202492,0.29169,-0.15000742,Main
24,2016,39675.01334,40822.54343,35955.26358,43106.40947,42503.45277,11.86487785,11.29194522,16.08180275,13.21548651,10.79098643,0.012395165,0.003983902,-0.006535824,-0.121173815,0.001138952,0.149886105,2.152222222,1.86,0.072,2.13,1.226,-0.063092286,0.320195834,0.261934229,0.050432811,-1.007557695,-0.729988558,-0.151917,0.274271,-0.046990276,Main
25,2017,37167.38642,43988.73342,30427.86215,42975.94457,39535.64007,11.12252463,10.34694568,15.07608974,12.15564559,11.52968671,0.01225607,0.012644896,0.001231937,-0.121873626,0.355353075,0.2523918,-0.433333333,-0.055,0.168,0.745,0.5,1.074146168,0.183955463,0.412321911,1.313004237,-0.857843251,0.013344775,-0.597236,0.314206,1.292232595,Main
26,2018,34916.98751,36333.22459,28075.98246,41540.55749,38975.46699,11.09268778,10.12871959,13.9417195,11.38335346,11.02224167,0.015444097,0.011698479,-0.074296463,-0.123552606,0.407175399,0.210022779,-0.586666667,-0.775,-0.082,-0.065,-0.132,-0.029968836,0.054359697,0.411403251,0.173012562,0.122942265,0.189536442,-0.761237,0.325427,-0.356041708,Main
27,2019,35490.30609,35936.92818,29921.02261,44875.97556,39158.0446,11.10630283,10.53948284,14.73466975,12.12344013,10.70405491,-0.000485013,-0.007130805,-0.004604359,-0.060551539,0.338838269,0.224601367,0.606666667,0.715,0.414,0.105,0.49,-0.151421486,0.325412888,0.784695498,-0.047630989,0.400050082,-0.237920502,-0.533968,0.350184,-0.211817706,Late
28,2020,35511.38781,32409.50954,26988.10644,42036.29268,38195.77443,11.90677116,9.807267127,12.95033645,10.69873176,10.64764191,-0.001650287,0.000926593,-0.039947341,-0.066442193,0.673690205,0.27904328,0.377777778,0.44,-0.234,-0.88,-0.642,-1.564688691,-0.15564618,0.860367437,-1.616651789,0.643443416,0.207398942,-0.336705,0.41188,1.560077169,Late
29,2021,33581.64389,33121.86703,25187.30221,37935.71029,38964.497,11.20805369,9.438494336,12.47248904,10.76633767,10.66184036,-0.000720753,-0.011980578,-0.043598126,-0.057658082,0.768792711,0.46856492,-0.924444444,-0.885,-0.482,-0.88,-1.228,-0.869096239,0.813350161,2.48779322,-0.035373014,0.537722305,0.201816843,-0.110646,0.478918,-1.365609718,Late
30,2022,33939.69969,37778.60623,25095.03291,39642.29638,34974.03628,10.94791446,9.434618651,12.83901573,10.83125979,10.68550444,-0.001830973,-0.006253788,-0.048922311,-0.06070206,NA,NA,-0.802222222,-0.96,-0.924,-1.285,-1.772,2.134096572,-1.274743124,-1.60461986,2.134288562,0.225826749,0.285715609,NA,NA,1.930938887,
31,2023,31851.94383,30499.00284,23532.39219,39950.0268,41952.93025,10.67619618,9.390183998,14.72705575,11.47575247,10.82732576,-0.001020409,-0.007999753,-0.014051565,-0.04865081,NA,NA,-0.747777778,-0.29,0.76,-1.36,-1.858,-0.123679698,0.409518961,NA,NA,0.281058932,0.046962624,NA,NA,0.097233725,
32,2024,38862.38945,40009.82349,NA,NA,NA,11.5897033,NA,NA,NA,NA,NA,NA,NA,-0.10396532,NA,NA,1.557777778,1.315,0.55,-0.495,-1.853333333,-0.931235375,-0.178198503,NA,NA,NA,NA,NA,NA,NA,
