year,month,day,31N,32N,33N,34N,35N,36N,37N,38N,39N,40N,41N,42N,43N,44N,45N,46N,47N
1993,1,1,0.589069486,0.603984356,0.14933534,-0.076865673,-0.06514167,0.146915942,0.636082232,-1.414829254,0.438325733,0.32568264,0.272787541,0.368425012,0.108834654,0.23714453,0.726813078,1.03477335,0.076137982
1993,1,2,0.542390585,0.753435612,0.412394404,0.318631828,0.615700364,1.226160049,1.348138928,0.2563743,1.137145281,0.405563712,0.091626495,0.41634649,0.387117743,-0.096829392,0.454367906,0.7859236,-0.048064113
1993,1,3,0.734698057,1.287457705,1.364864588,0.397815764,0.333434284,1.156185269,0.915899456,0.078100324,0.958136678,0.382713825,-0.166306078,0.392526448,0.232627273,-0.086657181,0.361109406,0.730426371,-0.573015749
1993,1,4,-0.244622797,0.127784312,0.307773918,-0.191534042,-0.33182618,-0.10693904,0.218156725,-0.86652863,0.356145531,0.016470432,-0.160895944,0.227779001,-0.074674852,-0.020957872,0.997674465,1.027043343,-0.663519502
1993,1,5,-0.771954417,-0.985850334,-0.500903785,-0.373315394,-0.471595019,-0.930707574,-0.172687784,-1.546088934,-0.12014614,-0.47396493,-0.292087108,-0.038823165,-0.311494082,-0.10538052,0.551727176,0.659226775,-0.326475114
1993,1,6,-0.758196473,-1.621118188,-1.444552898,-0.528590024,-0.982292712,-2.729233742,-0.607280433,-2.754442215,-1.253154397,-1.10480237,-0.509903669,-0.121087387,0.754570425,0.425672174,0.975331783,0.768320739,-0.150865525
1993,1,7,-0.301456124,-0.932598591,-1.283648968,0.3698439,0.419154912,-0.478567719,0.749102831,-3.405178785,-0.883978188,-0.885296822,-1.015055299,-1.110877514,0.430603266,0.382927418,0.881255984,1.011315584,0.004955322
1993,1,8,0.487237871,0.308118582,0.055075526,0.76568222,1.115522504,1.883503437,1.551027656,-1.190774322,-0.148491979,0.99051857,0.187382847,-0.826753676,-1.102087259,-0.277901113,-0.23579374,0.767949343,-0.241153836
1993,1,9,0.264576405,0.725757718,0.555924475,-0.436544299,0.043521374,1.345458865,0.810408831,-0.443990797,0.140624568,1.083423853,0.489990354,0.373174548,-0.256205678,-0.219677776,0.223713398,0.527981222,-0.119732618
1993,1,10,-0.30670476,-0.253714234,-0.125023231,-0.238687262,-0.172979087,0.478386045,0.719346046,-0.460457981,0.124328941,0.61367774,0.536909103,0.746283889,0.809766293,-0.026178539,0.545372367,0.452355325,-0.168155029
1993,1,11,0.225672424,0.966067195,0.988274217,0.506422997,0.167266935,0.921438754,0.636821866,-0.408641696,0.133267522,0.146062985,-0.251998723,0.411024928,0.431003481,-0.234212488,0.092058294,0.309528708,-0.420794994
1993,1,12,-0.465736449,-0.25427866,-0.12410304,-0.849214673,-1.518688321,-2.100315094,-1.075309038,-2.274523973,-1.519917369,-1.324330091,-0.896800339,-1.475546598,-1.857139111,-0.516161382,-0.450078815,0.131240845,-0.639612675
1993,1,13,-0.465762615,-0.558192313,-0.533820689,0.536796749,0.011954367,-1.880452156,0.867648959,-2.922718525,-1.308221221,-0.710353851,-0.038738631,-0.681996584,-0.767629445,0.127091289,0.510141134,0.743016839,-0.073727079
1993,1,14,-0.307154834,-0.538366437,-0.280766219,0.187191486,0.375540018,0.197438836,1.409915566,-1.478818655,-1.016833782,0.488497496,0.407251626,-0.394334078,-1.23640871,-0.274301559,-0.158192515,0.626348257,-0.067299873
1993,1,15,-0.22213912,-0.322385103,-0.444829226,-0.15141964,-0.593140602,-0.628301442,0.688560247,-1.781174898,-1.825790405,-0.770581782,0.059014767,-0.229955107,-0.937509298,-0.294432253,-0.401886165,0.284897655,-0.471489966
1993,1,16,-0.280800074,-0.441246331,-0.235543206,0.172581539,0.263504207,-0.297648281,1.085202098,-1.380373955,-1.230172276,-0.114697263,0.096093401,-0.403090119,-0.340888858,0.005241007,0.535349369,0.997993588,0.104731865
1993,1,17,-0.176198706,-0.468601406,-0.363970757,0.188635439,-0.190420389,-0.271383107,0.845580935,-1.596564889,-1.960410118,-0.676148415,0.218609422,0.171023473,-0.347669423,-0.176312268,-0.136624604,0.740576684,-0.172995135
1993,1,18,0.014342561,-0.219172165,-0.274416,0.810274661,0.341287762,0.012545884,1.51996851,-0.784062028,-0.654671252,-0.072256938,-0.615764618,0.074287772,0.568291306,-0.094269127,0.334322155,0.782728732,-0.044798527
1993,1,19,0.718946755,1.442828417,1.507693887,0.756685197,0.744262397,1.61123085,0.931682169,-0.600382924,-0.859276891,-0.529059172,-0.760576248,-2.585517645,-4.18235302,-1.216923833,-2.882706642,-0.545617819,-2.380779266
1993,1,20,0.245014638,0.962408304,0.895162106,0.045464978,-0.161061868,-0.04013741,0.651405334,-3.786130905,-2.857150793,-1.592286587,0.766742229,-2.983363628,-5.332922935,-0.424739957,-2.707594395,1.401338577,0.102613166
1993,1,21,0.476043701,1.402216554,1.056348205,0.226505518,0.135145873,0.066356294,1.178319931,-1.163307786,-1.278138399,0.041980565,1.104979515,-0.831833661,-1.462346792,0.435606718,-0.794372618,1.090621948,-0.063262373
1993,1,22,0.596841276,1.713726282,1.661759615,0.534152627,0.659851015,1.335581422,1.596268892,-0.482143641,0.096244097,1.36305809,2.528369904,0.447666138,1.605300426,0.683858097,0.633350134,2.109265566,1.099271178
1993,1,23,0.338480294,1.565769792,1.661994696,0.26142627,0.541223407,2.037728786,1.351477385,0.235916883,0.418087035,1.332968473,0.216972589,0.801199675,0.894643962,-0.440417528,-0.570162296,0.189050078,-0.86340189
1993,1,24,-0.184273779,0.622854173,0.733834743,-0.221536666,0.065849632,0.88730073,0.922951102,-0.28038004,0.081530496,0.764552534,0.293317676,0.533079445,-0.906085551,-0.124049425,-1.21435225,0.589678288,-0.177393854
1993,1,25,-0.36619103,0.285795122,0.513706565,-0.285606086,-0.131862551,0.332417965,0.50751245,-0.405367851,-0.087780982,0.802211881,0.92603898,0.768194318,0.50106591,0.36556232,-0.627226114,0.39536953,-0.087357283
1993,1,26,-0.338187277,0.023569174,0.246014267,-0.102681704,0.017255448,0.341015637,0.443570375,-0.495012999,-0.082428873,0.424423784,0.219044477,0.609615445,1.183785558,0.257571369,0.058623999,0.908904791,0.352860689
1993,1,27,-0.243014693,-0.097167112,0.059467983,-0.030367866,0.063845783,0.381583154,0.444996715,-0.626871049,-0.153461978,0.349097341,-0.013876267,-0.020971362,0.698095143,0.147204325,-0.095915556,0.89415735,0.095730603
1993,1,28,0.036454149,0.088573448,0.195846289,0.102668762,0.293716878,0.961611271,0.855541408,-0.217102826,0.13102375,0.55249697,0.425244302,0.088958949,-0.328373045,0.00540334,-1.060373783,0.684181631,-0.072853029
1993,1,29,0.093621463,0.219021142,0.205222443,0.05692789,0.227262646,0.984613121,0.754142821,-0.071608245,0.383740693,0.812713027,0.629712105,0.7375682,0.923969626,0.110616915,0.057090923,0.773002088,0.448573589
1993,1,30,-0.042658083,0.100047328,0.115502864,0.049789578,0.273825973,0.914420784,0.793207824,-0.343897402,-0.051019151,0.154418185,-0.043948978,0.521164775,1.20818615,0.074816987,0.197268531,0.843895018,0.331427872
1993,1,31,-0.066125773,0.024881562,0.069876723,-0.080405407,0.021204494,0.186920941,0.262254149,-0.861860812,-0.302668959,0.014577582,-0.079005882,0.082578719,-0.205410689,0.060778797,-0.421300769,0.672847033,-0.004504561
1993,2,1,0.156296462,0.265277982,0.062378332,0.000386082,0.113149881,0.21556139,0.26128161,-1.181704402,-0.562372386,-0.208526045,-0.29795596,-0.511731982,-1.044841051,0.131152481,-0.402747244,0.785205126,0.076512575
1993,2,2,0.134511203,0.320846498,0.074558049,-0.088150695,0.059548207,0.174989045,0.112193406,-1.82140255,-1.240265965,-1.183242679,-0.543325305,-1.273986936,-2.136157513,-0.060654804,-0.547501445,0.597437263,0.180205107
1993,2,3,0.150525779,0.291960895,0.046032608,-0.129171312,0.00764522,-0.163191915,0.057224393,-2.833273411,-1.814368248,-1.695626855,-0.39873445,-1.863958836,-3.028542995,-0.192057312,-1.060685039,0.603481531,0.20066756
1993,2,4,0.032496467,0.193778843,-0.075496688,-0.391316116,-0.444729388,-1.136003017,-0.21718359,-3.956993103,-3.641209126,-4.050219059,-0.837703824,-3.561128139,-3.128813744,-0.218289152,-0.721493065,0.367065966,0.402223468
1993,2,5,-0.076750018,0.071323752,-0.232940972,-0.263432801,-0.388239861,-1.119692683,1.033067584,-3.142341137,-3.075640202,-2.80033803,0.442334175,-4.141134262,-4.681739807,-0.45950973,-2.416630268,-0.120202482,0.101491928
1993,2,6,0.0377081,0.26612556,0.120638028,0.070864253,0.045585752,0.281221628,1.394424438,-1.340577483,-2.119526386,-0.351098299,1.086743593,-0.961391807,-1.873222113,0.57136023,-0.859599054,0.111132503,0.666825235
1993,2,7,-0.113724038,-0.055609912,-0.243087441,-0.361722767,-0.698278189,-1.134849429,0.494399428,-2.076304913,-2.863616228,-1.984339714,0.477533698,-0.600743711,-0.724644899,0.68453753,-0.197776839,0.633791447,0.717852473
1993,2,8,-0.71382755,-1.245546579,-1.17526722,0.125487506,-0.267849773,-1.024334669,1.392748117,-1.712922096,-1.837876558,-2.044223785,0.360704243,-0.929440022,-1.15620482,0.241894484,-0.081896752,0.44881624,0.334686816
1993,2,9,0.677497208,0.792932034,0.4621889,0.71628654,0.577387035,1.264961004,1.797058821,-0.397406876,-0.264252245,-0.202952638,1.051491737,0.246258199,-1.634669304,-0.084840417,-1.622497678,-0.172732472,-0.422292709
1993,2,10,0.842276275,1.585703135,1.00895822,0.288448334,0.236106426,0.801445246,1.201262593,-0.770826101,-0.289793611,-1.224437952,0.236717403,-0.590740263,-1.015123367,0.099021137,-0.32796213,0.229975402,-0.080660284
1993,2,11,0.544221997,1.628304958,1.049208283,0.2071715,0.145144522,0.353894442,1.161910295,-0.951357543,0.239581376,-0.474033833,1.31889832,-0.58209455,-1.027942061,0.462887555,-0.506191134,0.845087409,0.150434345
1993,2,12,0.447806656,1.357521772,0.993988633,0.246051788,0.350886017,0.629034281,0.998145759,-0.294157743,0.334216595,-0.294587582,1.07359159,0.698993921,0.446788162,0.276495934,0.05115696,0.665861428,0.129116803
1993,2,13,0.310731679,1.315510154,0.824224591,0.321372271,0.391542077,0.904765964,0.922781825,-0.145999402,0.605518699,-0.044671267,0.30425334,0.789477766,1.130210161,0.258292496,0.178605676,0.614974618,0.019562751
1993,2,14,-0.134695321,0.815505207,0.479415536,0.397735327,0.498969018,1.002612948,1.071263671,0.29287529,1.347802877,1.077186108,0.845503628,1.398884058,2.774699211,0.296184719,0.824419141,1.074881911,0.276220679
1993,2,15,0.028545558,0.845113397,0.713312149,0.562373996,0.56833452,0.960647285,0.909225702,0.352502048,1.472915173,1.465686917,1.112259388,2.077339888,3.38551569,-0.237729311,0.805424929,1.266593456,0.289192319
1993,2,16,-0.192854777,0.399332166,0.266153693,0.046437114,0.305457115,0.725060225,0.539666772,0.16970861,0.891680956,0.67442292,0.514165342,1.504012823,3.323686123,0.091887712,0.419077128,0.885130167,0.119356886
1993,2,17,-0.308345675,-0.118612632,-0.340171218,-0.705598176,-0.697741151,-0.808831573,-0.712258935,-1.2409935,-0.219060272,-0.516394734,-0.128851682,0.116218388,1.626084566,0.111440063,0.154264808,0.972772479,0.049595412
1993,2,18,-0.53927052,-0.912432551,-0.916311264,-1.167761326,-1.517963529,-2.898192167,-1.065947056,-2.908281326,-1.317159176,-1.214762926,-0.207877532,-0.314779699,0.921082973,0.080375969,-0.272928715,0.634665489,-0.236284226
1993,2,19,-0.466418952,-1.268937588,-1.056927919,-0.084169298,0.011370897,-1.884919405,0.659074426,-4.426631451,-2.060763836,-2.27137661,-0.687089086,-0.348644078,0.820202112,0.153314352,0.082704127,0.554668009,-0.028082699
1993,2,20,0.387737572,0.051147282,0.384082645,0.730346918,0.910184026,1.533006668,2.756744623,-0.788849473,0.669756413,1.130057931,0.131628349,-0.066158712,-0.818639636,-0.213608727,-0.773295879,0.048754957,-0.548333049
1993,2,21,0.473792791,0.905937314,1.003296375,-0.099077523,0.087044023,0.817418694,1.292191386,-0.627928495,0.10632661,1.260128617,0.870545268,0.114563726,-0.659488797,0.194761366,-0.084917352,0.297460407,-0.470810115
1993,2,22,0.36219883,0.70926863,0.712731481,-0.158213854,-0.302612364,-0.498339832,0.63921082,-1.492424846,-1.00760603,-0.721611202,0.361704797,-0.065817773,-0.096787207,-0.02500305,0.48044914,0.539510846,-0.347639352
1993,2,23,0.339028507,0.583281696,0.438620478,0.10772267,0.012711287,-0.247112229,1.422088623,-1.053832173,-0.232480824,-0.720598996,0.192215055,0.622269213,1.448662639,0.384536922,0.766863525,0.965796709,-0.201804295
1993,2,24,0.645080149,1.330772996,1.393402934,0.919641495,1.024997711,1.886573434,2.367486,0.975296736,1.86540544,1.512604356,0.141815662,0.868619323,2.061778307,-0.257084727,0.284931004,0.733192742,-0.243266702
1993,2,25,0.62604177,1.500861645,1.370524645,0.153534412,0.134263113,0.712891161,0.689606786,-0.728545189,0.097541988,0.429164022,0.098148167,-0.099802151,0.928920925,-0.220517829,0.069640875,0.416276753,-0.450028777
1993,2,26,0.136161536,0.835637689,0.489767104,-0.07760641,0.328266531,0.711167395,1.577044725,0.103512585,1.14825809,1.302449346,1.20613265,1.156630039,2.212741613,-0.043878734,0.579860985,0.598087192,-0.157901704
1993,2,27,0.042434305,0.872534096,0.813754439,-0.027252853,0.179536194,0.733929157,0.709072351,-0.276160896,0.382324159,0.537978411,0.60498786,1.324256659,2.831683636,-0.136390328,0.185809329,0.596573114,-0.311365902
1993,2,28,0.105046868,0.752908051,0.68786943,0.018546551,0.135169506,0.583837807,0.653591514,-0.59031868,0.208165735,-0.153425932,-0.215547085,0.238126174,1.32986784,-0.038769588,-0.236175269,0.419970661,-0.584347904
1993,3,1,0.259604186,1.262836814,1.033498883,0.326121688,0.362494886,0.668921649,0.590379596,-0.773318172,-0.080766171,-0.118828654,-0.350019872,-1.469122648,-1.812727094,-0.165277362,-1.015577555,0.17845118,-1.696493387
1993,3,2,0.210748136,1.12679553,0.884048939,0.090183973,0.251601219,0.493940592,0.396100581,-1.12429285,-0.395254195,-0.242829442,0.142150223,-1.590541601,-1.895534515,0.025637209,0.04349184,1.091303229,-0.741790831
1993,3,3,0.48005262,1.405981183,1.146905065,0.251025856,0.305481195,0.543942332,0.629570007,-1.097098351,-0.097708091,-0.070117772,0.407429338,-1.191402078,-3.435111046,0.240614176,-1.736078739,1.572660446,-1.300501466
1993,3,4,0.679832101,1.52649641,1.404626369,0.316071272,0.612378001,1.365171313,0.975777149,-0.387770057,0.145893008,0.370351583,0.252345741,-0.044196367,-2.930404186,0.477257729,-2.066455364,2.332046986,-0.288393259
1993,3,5,0.12456125,0.876044095,0.702015162,0.089584649,0.337294519,1.441185951,1.104686618,0.131390214,0.596118152,0.602916539,0.46906814,0.476330817,-0.480036259,0.814505875,0.43613416,3.049995899,2.221348286
1993,3,6,-0.002336919,0.519353867,0.345805764,0.00890705,0.041510344,0.750080228,0.804535568,0.138155729,0.952002466,1.23345983,0.814300478,0.989671886,1.29651022,0.567364454,0.669031978,2.264715433,1.590968966
1993,3,7,-0.055491254,0.26336664,0.153707191,0.006485283,-0.006557375,0.335769325,0.420305192,-0.286112398,0.278850049,0.350993216,0.246149853,0.472132057,1.341097593,0.358811229,0.272265106,1.508001804,0.849022746
1993,3,8,-0.057939634,0.21333763,0.063239232,0.05620572,0.001118392,0.271615088,0.307664037,-0.344415456,0.126138479,0.134383053,0.135159165,0.316537201,1.015944719,0.224183679,0.204840556,1.584971547,0.357661933
1993,3,9,-0.048386306,0.160696745,0.045552388,0.031345576,-0.035737861,0.13114655,0.145737395,-0.649771571,-0.240210682,-0.342128277,-0.265183747,-0.105430499,0.300516546,0.014480859,-0.182694644,1.412064791,0.076657131
1993,3,10,0.206140965,0.341510594,0.246165574,0.333458424,0.160596162,0.275484025,0.156418979,-0.628625453,-0.1864364,-0.293854594,-0.334010273,-0.43805638,-0.585273087,0.020655772,-0.385762662,0.944933951,-0.222556829
1993,3,11,0.522737026,0.798437655,0.605901957,0.695565283,0.510861874,1.023330212,0.734965563,0.071908355,0.387353718,0.311053663,0.174661666,0.08361733,-0.087818697,0.05742649,-0.067373402,0.7519238,0.040855337
1993,3,12,0.150456846,0.54832375,0.169412911,0.020405561,0.009223163,0.66644907,0.49053219,-0.010236919,0.367972285,0.316223979,0.128052324,0.200520635,0.176606551,0.115968361,-0.011286274,0.85241276,-0.043655053
1993,3,13,0.122217163,0.440114826,0.135998517,0.122396678,-0.062904447,0.233775139,0.274729997,-0.324254006,0.063229799,-0.022151379,-0.081858568,0.000116378,0.012384623,0.034902424,-0.016990453,0.895718217,-0.165608272
1993,3,14,0.389188886,0.758664846,0.48522824,0.570035338,0.150445521,0.331257999,0.235468194,-0.469708741,-0.104694597,-0.347191215,-0.558080316,-0.642742813,-1.093766332,-0.297750086,-0.720623076,0.865144312,-0.530710638
1993,3,15,0.466929764,0.952732563,0.635622561,0.549530983,0.082414538,0.180732548,0.159856498,-0.616031826,-0.125472814,-0.365951985,-0.548984289,-0.816367984,-1.42183733,0.083866894,-0.356351197,1.117045164,-0.69002068
1993,3,16,0.383479357,0.770921111,0.383868277,0.264095783,-0.032297105,-0.042657632,0.032902107,-0.991335034,-0.557601213,-1.010457516,-0.978813589,-1.775729299,-1.951612234,-0.158701852,-0.36038667,0.798265815,-0.697470844
1993,3,17,0.510904551,0.801623404,0.350571156,0.279376894,-0.101072326,-0.228494376,-0.332306206,-1.821187496,-0.982152581,-1.025802016,-0.798397422,-2.2719872,-3.694886923,0.042096138,-2.106993914,0.945751071,-1.371317148
1993,3,18,0.813351989,1.22725594,0.835630298,0.764759779,0.372481167,0.464838505,0.444325924,-0.708514571,0.013067175,0.349331021,0.186926514,-0.334673345,-0.747630537,0.347977132,-0.178655982,1.8584795,-0.272085667
1993,3,19,0.674745083,1.156401157,0.781389236,0.823847651,0.56363225,0.931896567,0.676930308,-0.147721142,0.157080978,0.363804311,0.12902832,-0.04617295,-0.021340124,0.112124607,-0.183135897,1.683999777,-0.557731748
