year,DDpre,DDegg,DDlarv,DDpjuv,DDben,Tcop,Tpart,MLDpart,MLDlarv,MLDpjuv,CSTlarv,CSTpjuv,LSTlarv,LSTpjuv,hci1_larv,hci1_pjuv,hci2_larv,hci2_pjuv,oni_pre,oni_larv,oni_pjuv,pdo_larv,pdo_pjuv,lusi_annual,ZOOpjuvN,ZOObenN,ZOOpjuvS,ZOObenS,X,CutiSTIpjuv,CutiTUMIpjuv,Year,BeutiTUMIpjuv,Year.1,BeutiSTIpjuv,CHLpjuv,PPpjuv,bakun_sti
1993,30563.2443451111,,29306.6523601695,46516.1005921569,35567.7860594262,,10.071290349925,14.9112366775,12.170470335,11.197682304,0.0105719195,0.0096252214,0.0076183625,-0.0909590988,0.573462414578588,0.200683371298405,0.573462414578588,0.200683371298405,0.0622222222222222,0.4,0.502,0.55,1.94,162,,,,,6,1.86156134044624,-0.984309186526296,1993,-1.29817974465447,1993,1.58899990586429,,,2.21548624880941
1994,32852.7768909854,30939.8485534426,28754.1229774576,41813.0780321568,37359.1715472951,10.712745093663,10.0237094052917,13.923875385,12.032958115,10.845332224,0.0143881755,0.010791482,-0.0222279915,-0.1204765054,0.295558086560364,0.170615034168565,0.295558086560364,0.170615034168565,0.135555555555556,0.12,0.402,0.55,0.134,177,,,,,7,0.381042599729837,-0.725166986953714,1994,-1.31869210893612,1994,0.378333310920069,,,0.0918931431780964
1995,34521.6997182117,30534.471652459,32563.9231194915,41866.2812577778,38979.6630939344,11.4587982108696,10.566410615,15.0585970425,11.84879909,10.914638074,0.013977656,0.014952145,-0.008593849,-0.1220054,0.197038724373576,0.262414578587699,0.197038724373576,0.262414578587699,0.718888888888889,0.625,-0.074,0.76,1.22,166,,,,,8,0.0894252720129687,-1.14778450214567,1995,-1.18118825984768,1995,0.189166655460035,,,-0.532693064360526
1996,35897.5611485818,35309.5542557377,31643.4695131667,41029.7258048366,35151.6350667213,11.0253207611957,10.8106661455537,15.12993445,11.895701495,11.20138152,0.0209733525,0.0130108348,-0.043861582,-0.1211436718,0.100227790432802,0.312756264236902,0.100227790432802,0.312756264236902,-0.753333333333333,-0.67,-0.318,1.105,1.038,134,-0.4770761135,0.21123601,0.082171164,-0.02765,9,1.36805509354078,-0.280630249742413,1996,-1.25230184808888,1996,1.32416658822024,,,1.21614831674762
1997,31841.6333881752,30660.9584306557,27106.3865516949,44850.3530821569,47657.2154834427,10.52898956275,9.71290475365,13.42029653,10.98845313,10.725216586,0.0210490135,0.0088120686,-0.074879495,-0.0918396176,0.525056947608201,0.0662870159453302,0.525056947608201,0.0662870159453302,-0.36,-0.23,1.15,0.715,1.958,107,-0.331402624,-0.86364272475,0.01720457,0.240013011,10,0.605363621050504,-2.56406453777478,1997,-1.73474613590076,1997,0.302666648736056,,,0.549923028706419
1998,43451.9205183942,44863.6991918033,38130.1941235593,46251.6601257516,38747.5802942623,12.6879655125,11.760387835,22.6392608375,16.41481818,11.016094444,0.0097110405,0.00608528103257613,0.017776259,-0.096520525,0,0.113895216400911,0,0.113895216400911,2.04111111111111,1.685,-0.118,2.11,0.166,192,-0.9638521398,-0.1213864745,0.5165477938,0.16896186375,11,-0.3704328216944,-0.128553994905883,1998,-1.12387740879255,1998,-0.32788886946406,-1.96633261194421,-2.08376023385954,-1.2405574329043
1999,34024.8037487226,35994.3879986885,24875.5867938983,37003.4123005229,36317.4107685246,11.2115846395652,9.2337244778,16.80005762,14.766077355,11.232716032,0.019676505,0.0123038256,0.010755834,-0.134425438,0.999430523917995,0.683143507972665,0.999430523917995,0.683143507972665,-1.28111111111111,-1.185,-1.05,-0.435,-1.31,206,-0.0757316676,0.26582865875,-0.1976215038,-0.37250619225,12,0.156721578409169,0.473865060811717,1999,0.316208167113415,1999,0.264833317644049,-1.41518399632868,-1.02589420798273,-0.990722949888849
2000,32816.4800549091,34215.4496985246,28768.5334513333,39821.4021571242,34925.687880082,10.550325549837,9.88892504776859,13.4319322975,11.78732755,10.7289702,0.014609526,0.013876684,-0.0245162955,-0.1221953072,0.58997722095672,0.421867881548975,0.58997722095672,0.421867881548975,-1.32,-1.24,-0.644,-0.365,-0.564,152,0.0062194158,0.4516919975,-0.2757526508,-0.2232501735,13,-0.875155119665903,-0.261294459722918,2000,-0.697550968890767,2000,-0.895388835844164,-0.752807410964017,-0.678107852085354,0.883035672727018
2001,31585.9804114598,30290.3823208197,26365.7967135593,37581.2560336601,35688.045975082,10.5699902581304,9.58674848861667,14.027074495,11.33657886,11.036276918,0.0106417075,0.0087637872,-0.0481889875,-0.1176855708,0.696469248291572,0.668109339407745,0.696469248291572,0.668109339407745,-0.596666666666667,-0.48,-0.184,0.445,-0.794,175,0.1259374426,0.491130715,-0.251882947,-0.255253948333333,14,-1.44717372403361,1.26322338670403,2001,0.964234501229103,2001,-1.53855546440828,-0.813529780083569,-0.616921840337265,0.30008854569097
2002,31191.5189881752,32605.3408493443,23877.8656689831,35593.5186605229,35875.903054918,10.47775117275,9.22741096581667,13.7120887875,10.975673185,11.014625638,0.014069287,0.0096917282,-0.056580856,-0.1347609948,0.936788154897494,0.66127562642369,0.936788154897494,0.66127562642369,-0.153333333333333,0.06,0.586,-0.425,-0.326,198,0.2855259712,0.48971144225,-0.2256779472,-0.142244155,15,-1.1443403452507,1.82180399838293,2002,1.53836357694001,2002,-0.807111063296148,2.32014829923524,2.4363253680305,-0.282858581345077
2003,33119.152105292,36032.2926354098,31781.370831017,40685.8800497386,36961.9327567213,9.63663255058695,10.74274982925,14.49500417,11.95909003,10.89086519,0.017686345,0.005641232,-0.0502389755,-0.1094161694,0.0654897494305239,0.289521640091116,0.0654897494305239,0.289521640091116,0.916666666666667,0.505,-0.034,1.715,0.638,154,-0.0252714176,-0.141425013333333,0.1612524154,-0.0893253086666667,16,0.706308080644805,0.652840968430191,2003,-0.813974354217907,2003,0.882777725480162,0.665325110388095,1.028412292537,0.175171304183246
