"","year","CutiSTIpjuv","CutiTUMIpjuv","BeutiTUMIpjuv","BeutiSTIpjuv","CHLpjuv","PPpjuv","bakun_sti"
"1",1988,-0.740562506873502,-0.442001533114486,-0.631772256783732,-1.57987786427312,NA,NA,1.75745636328109
"2",1989,0.336178395465703,-0.92901841506559,-0.66614201187336,0.454945986630633,NA,NA,-0.699249386370825
"3",1990,-0.976099579260203,-0.382449430520004,0.404210040317743,-0.979237089006352,NA,NA,-1.28219651340687
"4",1991,0.493203110390171,0.203936366806772,-0.106047567605395,0.626557636706854,NA,NA,-0.574332144863101
"5",1992,-0.146111800373732,0.209342930682745,-1.13367696912034,-0.734077588897465,NA,NA,0.30008854569097
"6",1993,1.86156134044624,-0.984309186526296,-1.14760504714424,1.54590576211518,NA,NA,2.21548624880941
"7",1994,0.381042599729837,-0.725166986953714,-1.16757850371469,0.369140161592523,NA,NA,0.0918931431780964
"8",1995,0.0894252720129687,-1.14778450214567,-1.03368719820603,0.185270536510858,NA,NA,-0.532693064360526
"9",1996,1.36805509354078,-0.280630249742413,-1.10293246554473,1.28848828700085,NA,NA,1.21614831674762
"10",1997,0.605363621050504,-2.56406453777478,-1.45439813031193,0.295592311559857,NA,NA,0.549923028706419
"11",1998,-0.3704328216944,-0.128553994905883,-0.977882032256914,-0.317306438712359,-1.96633261194421,-2.08376023385954,-1.2405574329043
"12",1999,0.156721578409169,0.473865060811717,0.42436920459518,0.258818386543524,-1.41518399632868,-1.02589420798273,-0.990722949888849
"13",2000,-0.875155119665903,-0.261294459722918,-0.562756160657903,-0.868915313957353,-0.752807410964017,-0.678107852085354,0.883035672727018
"14",2001,-1.44717372403361,1.26322338670403,1.0553704074952,-1.49407203923501,-0.813529780083569,-0.616921840337265,0.30008854569097
"15",2002,-1.1443403452507,1.82180399838293,1.61441580078008,-0.783109488919243,2.32014829923524,2.4363253680305,-0.282858581345077
"16",2003,0.706308080644805,0.652840968430191,-0.676120837702969,0.859459161810296,0.665325110388095,1.028412292537,0.175171304183246
"17",2004,-0.774210660071602,1.0564156601181,-0.646362165465511,-0.623755813848466,0.175986668404567,0.637829227605556,-0.0330240983296281
"18",2005,1.56994401272938,0.709436772550615,-0.747369377540431,0.356882186587079,-0.121433362119461,-0.1583246765408,1.21614831674762
"19",2006,0.29131419120157,3.36033097091215,0.499173849460022,0.61429966170141,1.26029658162294,1.02603994757879,-0.157941339837353
"20",2007,0.571715467852404,-0.681435076193367,-0.102704828879658,0.712363461744964,0.842964495897831,1.58909815369715,0.175171304183246
"21",2008,-1.37987741763741,0.64788717098718,2.23152448670647,-1.42052418920235,0.838052987866898,0.813785998341914,-1.03236203039142
"22",2009,-1.76122315388254,-0.247391866898983,1.10278118996579,-1.83729533938745,1.8394918649875,1.24686318978565,-1.2405574329043
"23",2010,0.336178395465703,-0.997972079473958,0.144744763836675,0.454945986630633,-0.241011813258987,-0.408650996972925,1.71581728277851
"24",2011,0.167937629475202,-1.1475448022694,0.386105514500571,0.271076361548968,-0.299698369717812,-0.191067986360101,0.216810384685821
"25",2012,1.08765381688994,-0.509463731626032,0.354197374335452,1.2762303119954,-1.00109861346396,-1.21590961205934,0.46664486770127
"26",2013,-1.54811818362791,0.105606150894956,0.225023834829778,-1.60439381428401,0.0471266882180608,-0.623643853759613,-0.532693064360526
"27",2014,0.863332795569273,-0.0489203693434961,-0.530573410160114,0.61429966170141,0.577291907964995,0.766377271033025,0.716479350716719
"28",2015,0.582931518918438,0.514400973221734,0.631796810842254,0.0872067364673037,0.499575675902596,0.183554680680715,-0.407775822852802
"29",2016,-0.0339512897133987,0.321948605892702,0.261934229400078,0.0504328114509707,0.654188300858485,0.796323940364704,0.0502540626755215
"30",2017,1.12130197008804,0.182150311385357,0.412321911007978,1.31300423701174,-0.808426098642226,-0.713716781303707,0.425005787198695
"31",2018,-0.00030313651529857,0.0491701466920469,0.411403250542571,0.173012561505414,-0.848584922586477,-0.874816150518356,-0.199580420339927
"32",2019,-0.123679698241666,0.327301903129504,0.784695497722265,-0.0476309885925835,-0.563222900241192,-0.810115168805121,-0.199580420339927
"33",2020,-1.55933423469394,-0.166320042078947,0.860367437091007,-1.61665178928946,-0.881938074476749,-0.341292864368139,1.04959199473732
"34",2021,-0.852723017533836,0.827981678028269,2.48779321989071,-0.0353730135871393,0.59717148208047,0.217247041957604,-1.32383559390945
"35",2022,2.19804287242725,-1.31464224935248,-1.60461986035188,2.1342885623765,-1.12968075257993,-0.866294905476476,2.04892992679911
"36",2023,-0.123679698241666,0.409518960691742,NA,NA,-0.0860383891262399,-0.493814707432755,0.0502540626755215
"37",2024,-0.93123537499607,-0.178198502614339,NA,NA,0.611367032105847,0.360474726249651,-0.990722949888849
